,Accounts Receivable Turnover,Debt/Equity,Accounts Payable Turnover,Average Payables,Capex to Sales,Inventory Turnover,ROIC,Working Capital,Book value per Share,P/E ratio,Average Receivables,Price to Tangible BV,Average Inventory,P/FCF ratio,Average Common Equity,P/S ratio,Average Assets,Capital Expenditures,Average Days of Payables,EV/Sales,P/B ratio,ROE,Free Cash Flow,Average Days of Receivables,Interest Debt per Share,Capex/Depreciation,Net Profit Margin,Earnings Yield,"Selling, General and Administrative Expense of Revenue",Return on Tangible Assets,Intangible Assets out of Total Assets,Interest Coverage,Days of Inventory on Hand,Net Current Asset Value,Free Cash Flow per Share,Net Debt/EBITDA,EV/FCF,EV/EBIT,ROA,Current Ratio,Free Cash Flow Yield,Asset Turnover,Cash ROIC,Graham Net Nets,EV/Operating CF,Operating CF/Net income,Quick Ratio,Graham Number,Depreciation/Fixed assets,Share Based Compensation of Revenue,Shareholders Equity per Share,Cash per Share,Capex per Share,P/Operating CF,Revenue per Share,EV/EBITDA,Operating CF per Share,Debt/Assets,Research and Development Expense of Revenue,year,ticker
1,4.818,0.2989,3.6677,17081500000.0,0.1205,19.6457,0.4671,74602000000.0,22.2174,26.4773,41152000000.0,21.9471,3189000000.0,29.5507,154265000000.0,9.71,349309500000.0,-23886000000.0,110.6943,9.4327,11.5598,0.4715,65149000000.0,81.4811,6.641,-1.6519,0.3669,0.0378,0.1398,0.4882,0.216,0.0,21.801,-28614000000.0,8.6912,-0.5619,28.7068,22.4293,0.2082,1.7846,0.0338,0.5676,0.0456,-0.0149,21.0055,1.2241,1.5673,69.6345,0.1944,0.0378,22.2174,13.9751,-3.1865,78.1679,26.4501,19.1145,11.8777,0.1364,0.1236,2022,MSFT
2,4.7988,0.4095,3.7722,13846500000.0,0.1227,23.0554,0.626,95749000000.0,18.8138,33.321,35027000000.0,24.2016,2265500000.0,36.4318,130146000000.0,12.1632,317545000000.0,-20622000000.0,105.9599,11.7337,14.399,0.4708,56118000000.0,82.6097,7.7045,-1.7647,0.3645,0.03,0.1501,0.3941,0.1723,0.0,18.4205,-7385000000.0,7.4358,-0.8846,35.1455,28.2095,0.193,2.08,0.0274,0.5293,0.0515,-0.0036,25.701,1.2525,1.8992,58.6645,0.1957,0.0364,18.8138,17.2696,-2.7325,90.0256,22.2722,24.1697,10.1683,0.1742,0.1232,2021,MSFT
3,4.6482,0.5353,4.2057,10956000000.0,0.108,23.2835,0.7338,109605000000.0,15.5459,34.9674,30767500000.0,22.8037,1979000000.0,34.2378,110317000000.0,10.829,293933500000.0,-15441000000.0,99.2545,10.3172,13.0909,0.4014,45234000000.0,81.6978,8.3216,-1.2067,0.3096,0.0286,0.1728,0.288,0.1672,0.0,15.011,-1092000000.0,5.944,-1.1132,32.6195,27.8614,0.1506,2.5158,0.0292,0.4866,0.0519,-0.0007,24.3183,1.3702,2.3308,45.1191,0.2898,0.037,15.5459,17.9405,-2.029,82.9385,18.793,22.4395,7.9731,0.2102,0.1347,2020,MSFT
4,4.494,0.7053,4.768,8999500000.0,0.1107,18.163,0.6599,106132000000.0,13.3364,26.5519,28002500000.0,19.8096,2362500000.0,27.2105,92524000000.0,8.2728,272702000000.0,-13925000000.0,79.8049,7.783,10.1737,0.4241,38260000000.0,85.6326,9.4068,-1.192,0.3118,0.0377,0.1835,0.2752,0.1737,0.0,17.5482,-8674000000.0,4.9863,-1.1281,25.5994,22.7992,0.1439,2.5288,0.0368,0.4615,0.0509,-0.0083,18.7685,1.3299,2.353,39.158,0.3203,0.037,13.3364,17.4402,-1.8148,64.6308,16.4008,17.9248,6.8011,0.2519,0.1341,2019,MSFT
5,4.5126,0.9217,4.792,8003500000.0,0.1054,15.8385,0.8698,111174000000.0,10.7426,46.7336,24456000000.0,19.7547,2421500000.0,23.8769,85214500000.0,6.9779,254580000000.0,-11632000000.0,82.0068,6.4566,9.3097,0.1945,32252000000.0,87.5821,9.9013,-1.1336,0.1502,0.0214,0.2014,0.1178,0.169,0.0,25.3339,-6468000000.0,4.1886,-1.2694,22.0932,20.3249,0.0651,2.9008,0.0419,0.4335,0.0493,-0.0084,16.2371,2.6482,2.7399,22.7433,0.3483,0.0357,10.7426,17.3725,-1.5106,67.4441,14.3325,15.723,5.6992,0.2945,0.1334,2018,MSFT
6,4.7446,0.9827,4.7958,7144000000.0,0.0842,15.4607,0.4433,106951000000.0,11.3234,25.2491,20354000000.0,12.5681,2216000000.0,17.0161,79854000000.0,5.5289,221890000000.0,-8129000000.0,78.7295,5.0444,6.0874,0.3192,31378000000.0,84.7803,11.1275,-0.9261,0.2639,0.0396,0.2065,0.195,0.1807,0.0,23.2353,95000000.0,4.0509,-1.2377,15.525,16.7836,0.1149,2.9186,0.0588,0.4352,0.0514,0.0002,12.3306,1.55,2.7879,26.3731,0.3698,0.0338,11.3234,17.1677,-1.0494,48.5172,12.4672,12.8864,5.1003,0.3443,0.135,2017,MSFT
7,5.0382,0.7425,4.8603,6744500000.0,0.0915,12.7227,1.334,80303000000.0,9.0848,24.4833,18092500000.0,8.0474,2576500000.0,16.2326,76040000000.0,4.4488,183970000000.0,-8343000000.0,76.8081,3.793,5.6325,0.2701,24982000000.0,73.185,6.7459,-1.1504,0.2253,0.0408,0.2106,0.2082,0.1117,0.0,25.0645,18189000000.0,3.1523,-1.7935,13.8397,13.258,0.1116,2.3529,0.0616,0.4955,0.0627,0.0449,10.3749,1.6225,2.2157,20.6691,0.3951,0.0293,9.0848,14.289,-1.0527,47.9114,11.5021,10.3733,4.205,0.2763,0.1315,2016,MSFT
8,4.9973,0.4407,4.712,7011500000.0,0.0635,11.8799,0.6022,73150000000.0,9.7937,30.034,18726000000.0,6.1914,2781000000.0,15.2173,84933500000.0,3.8578,173428000000.0,-5944000000.0,72.8166,3.2035,4.508,0.1436,23724000000.0,69.8485,4.316,-0.4418,0.1303,0.0333,0.2172,0.1387,0.1248,0.0,32.061,28408000000.0,2.9013,-1.9368,12.6362,16.5068,0.0703,2.4734,0.0657,0.5396,0.0705,0.0787,10.1045,2.4332,2.305,17.998,0.9134,0.0275,9.7937,11.8046,-0.7269,52.7105,11.4443,9.4819,3.6282,0.2023,0.1287,2015,MSFT
9,4.6899,0.2522,4.4173,6130000000.0,0.0632,11.7782,0.6493,68621000000.0,10.8187,15.6767,18515000000.0,5.5215,2299000000.0,12.8093,84364000000.0,3.9854,157407500000.0,-5485000000.0,100.1802,3.2592,3.8545,0.2617,27017000000.0,82.1526,2.7286,-1.0524,0.2542,0.0638,0.2359,0.2704,0.1573,0.0,35.8557,31646000000.0,3.2555,-1.9127,10.475,10.195,0.1402,2.504,0.0781,0.5516,0.0984,0.0914,8.7073,1.4724,2.3069,25.446,0.4006,0.0282,10.8187,10.3276,-0.6609,35.3672,10.4631,8.5834,3.9164,0.1314,0.1311,2014,MSFT
0,6.364,0.5036,7.8078,1488000000.0,0.068,2.9928,0.1324,16510000000.0,8.8866,111.64,4238500000.0,30.2676,3882000000.0,127.5959,24356500000.0,18.0131,42684500000.0,-1833000000.0,37.4802,17.9328,21.9848,0.1793,3808000000.0,51.7852,4.4749,-1.1872,0.1619,0.009,0.0905,0.215,0.1469,0.0,162.0791,3992000000.0,1.5312,-0.3757,127.0268,114.5166,0.1023,3.5156,0.0078,0.6319,0.0394,0.0082,85.7504,1.2914,2.609,18.7059,0.4056,0.1004,8.8866,5.3462,-0.737,216.1411,10.846,83.8624,2.2682,0.2702,0.2721,2023,NVDA
