,Accounts Receivable Turnover,Debt/Equity,Accounts Payable Turnover,Average Payables,Capex to Sales,Inventory Turnover,ROIC,Working Capital,Book value per Share,P/E ratio,Average Receivables,Price to Tangible BV,Average Inventory,P/FCF ratio,Average Common Equity,P/S ratio,Average Assets,Capital Expenditures,Average Days of Payables,EV/Sales,P/B ratio,ROE,Free Cash Flow,Average Days of Receivables,Interest Debt per Share,Capex/Depreciation,Net Profit Margin,Earnings Yield,"Selling, General and Administrative Expense of Revenue",Return on Tangible Assets,Intangible Assets out of Total Assets,Interest Coverage,Days of Inventory on Hand,Net Current Asset Value,Free Cash Flow per Share,Net Debt/EBITDA,EV/FCF,EV/EBIT,ROA,Current Ratio,Free Cash Flow Yield,Asset Turnover,Cash ROIC,Graham Net Nets,EV/Operating CF,Operating CF/Net income,Quick Ratio,Graham Number,Depreciation/Fixed assets,Share Based Compensation of Revenue,Shareholders Equity per Share,Cash per Share,Capex per Share,P/Operating CF,Revenue per Share,EV/EBITDA,Operating CF per Share,Debt/Assets,Research and Development Expense of Revenue,year,ticker
2,4.7282,0.6836,6.5872,65041500.0,0.033,11.6078,0.8601,399021000.0,3.8546,165.5377,163789000.0,51.1898,36910000.0,115.9052,378102500.0,28.4497,956662500.0,-25568000.0,61.8571,27.9997,45.5217,0.3544,190766000.0,85.8575,2.6351,-1.4124,0.173,0.006,0.1338,0.3032,0.0447,0.0,35.5796,216955000.0,1.5193,-1.7039,114.0718,116.3044,0.1401,1.7472,0.0086,0.8095,0.116,0.0098,100.2324,1.6145,1.6132,9.5882,0.4211,0.0549,3.8546,5.4107,-0.2036,261.7271,6.1677,106.0109,1.7229,0.2757,0.0722,2020,ENPH
3,5.5657,0.3877,7.5863,53134000.0,0.0237,16.6831,0.7864,300346000.0,2.3323,19.7955,112175500.0,14.0637,24161500.0,24.7212,139994000.0,4.8848,526580000.0,-14788000.0,52.0433,4.5795,11.2034,1.1511,124279000.0,85.0119,0.9043,-1.0474,0.2581,0.0505,0.121,0.4894,0.0776,0.0,29.027,58646000.0,1.0648,-1.6309,23.1765,27.8319,0.306,2.5069,0.0405,1.1856,0.1634,0.0192,20.5595,0.863,2.2152,8.3229,0.4879,0.0323,2.3323,2.5371,-0.1267,29.8199,5.3493,24.4689,1.1915,0.148,0.0647,2019,ENPH
4,4.3825,14.1182,5.7186,38770500.0,0.0131,10.4914,0.0881,75141000.0,0.0781,0.0,72142000.0,0.0,21133000.0,42.5807,-675000.0,1.4904,254542000.0,-4151000.0,80.3279,1.5016,60.5964,17.2252,11981000.0,91.1325,1.102,-0.4294,-0.0368,-0.0254,0.1775,-0.1209,0.1768,0.0,26.7798,-109859000.0,0.1203,0.3148,42.9011,297.4586,-0.0457,1.5106,0.0235,1.2421,-0.0217,-0.2331,29.4287,-1.3875,1.2583,0.0,0.4604,0.0362,0.0781,1.0664,-0.0417,251.3055,3.1737,42.1507,0.1619,0.323,0.1031,2018,ENPH
5,4.5292,-5.4516,7.6145,30221500.0,0.0144,7.9409,-2.1437,38705000.0,-0.11,0.0,63182500.0,0.0,28979500.0,0.0,-3913000.0,0.7536,166361500.0,-4121000.0,45.5959,0.8256,0.0,11.5492,-32563000.0,83.3477,0.5999,-0.4577,-0.1579,-0.2115,0.1585,-0.6933,0.0247,0.0,41.2372,-47827000.0,-0.3926,-0.6784,-7.0568,0.0,-0.2716,1.4219,-0.1552,1.7201,-0.7872,-0.2218,-8.3063,0.6294,1.03,1.1669,0.34,0.0235,-0.11,0.3514,-0.0497,-112.6653,3.4503,0.0,-0.3429,0.2941,0.1159,2017,ENPH
6,6.0231,18.3077,9.2407,28632500.0,0.0398,7.2728,-5.3418,35092000.0,0.0257,0.0,53559000.0,0.0,36380000.0,0.0,21374500.0,0.1644,164552000.0,-12845000.0,43.7256,0.1831,40.8038,-3.1562,-45798000.0,69.0408,0.4711,-1.1912,-0.2091,-1.3143,0.2053,-1.014,0.0282,0.0,44.0898,-44412000.0,-0.9066,-0.1163,-1.2834,0.0,-0.41,1.424,-0.8678,1.9604,-1.5023,-0.8373,-1.7929,0.4885,0.9518,0.0,0.343,0.032,0.0257,0.3516,-0.2543,-12.1523,6.3855,0.0,-0.6523,0.1455,0.1572,2016,ENPH
7,7.8329,0.0,10.4013,23942500.0,0.0357,7.9831,-0.9285,48920000.0,0.9287,0.0,45609000.0,4.4149,31195000.0,0.0,44200500.0,0.4385,158860000.0,-12762000.0,37.4758,0.3753,3.7795,-0.4996,-33922000.0,47.0992,0.0,-1.1925,-0.0618,-0.1396,0.2147,-0.2725,0.036,0.0,59.7995,-2311000.0,-0.76,3.3057,-3.98,0.0,-0.139,1.6715,-0.215,2.2488,-0.7622,-0.0148,-6.3359,0.9582,1.0234,0.0,0.3332,0.0355,0.9287,0.6375,-0.2859,19.2242,8.0043,0.0,-0.4741,0.0,0.1423,2015,ENPH
8,8.9091,0.0,15.5572,14839500.0,0.0407,12.0965,-0.5626,56190000.0,1.0944,0.0,38601500.0,14.8102,19085000.0,55.872,43579000.0,1.7827,134430500.0,-13999000.0,35.2824,1.6775,13.0577,-0.1848,10223000.0,47.8867,0.0,-1.6013,-0.0234,-0.0133,0.2096,-0.0925,0.0365,0.0,34.1346,9656000.0,0.2383,-9.7454,52.5757,0.0,-0.0599,1.9571,0.0179,2.5582,-0.0742,0.0157,23.8177,-3.0082,1.4845,0.0,0.2836,0.0283,1.0944,0.9797,-0.3263,69.041,8.0158,133.7614,0.5646,0.0,0.132,2014,ENPH
9,7.784,0.2158,17.7548,9317500.0,0.0269,9.0838,-1.2951,57144000.0,0.9654,0.0,29913500.0,6.6143,18211500.0,0.0,48430500.0,1.134,119480000.0,-6257000.0,16.2455,1.0072,6.5672,-0.5351,-7129000.0,50.2936,0.2083,-0.8963,-0.1113,-0.0978,0.2364,-0.316,0.0025,0.0,36.5816,14046000.0,-0.1712,1.9446,-32.8979,0.0,-0.2169,2.7127,-0.027,1.9488,-0.2954,0.0532,-268.9553,0.0337,2.1062,0.0,0.2809,0.0294,0.9654,0.917,-0.1502,34.8386,5.5909,0.0,-0.0209,0.0744,0.1483,2013,ENPH
0,6.0564,0.0466,8.7954,146427500.0,0.0507,4.5321,0.3112,1511652000.0,15.472,19.0111,520947000.0,6.8255,284174500.0,32.5634,2506869000.0,4.3151,3655338500.0,-159839000.0,39.5984,4.0678,5.5539,0.2854,418084000.0,56.8195,0.7203,-1.4442,0.2268,0.0526,0.1769,0.3707,0.1304,0.0,92.1131,1207957000.0,2.6389,-0.8278,30.6971,15.4266,0.1957,3.0256,0.0307,0.8631,0.046,0.0887,22.207,0.8077,1.8566,39.6674,0.2643,0.0153,15.472,5.6452,-1.0089,74.2317,19.9139,13.6153,3.6477,0.0326,0.1396,2022,TER
1,7.0648,0.0423,10.4341,143398000.0,0.0358,6.4282,0.5753,1771107000.0,15.5337,26.4612,524127500.0,13.0901,232759500.0,27.9284,2384731000.0,7.2851,3730885500.0,-132472000.0,37.3564,6.9454,10.5274,0.4255,965894000.0,54.2884,0.6573,-1.0557,0.274,0.0378,0.1479,0.4701,0.1317,0.0,59.3597,1329246000.0,5.8553,-0.9486,26.626,21.4187,0.2719,3.1998,0.0358,0.9925,0.1761,0.0493,23.4147,1.0826,2.3812,46.4754,0.324,0.0123,15.5337,8.2834,-0.8031,81.4286,22.4471,19.3921,6.6584,0.0285,0.1155,2021,TER
2,7.2603,0.1858,10.2638,130140000.0,0.0593,6.3776,0.4914,1714563000.0,13.2857,25.4004,429937000.0,12.0542,209440000.0,29.1189,1843588000.0,6.3804,3219680000.0,-184977000.0,36.5246,6.0516,9.024,0.4253,683958000.0,58.1744,2.4688,-1.4595,0.2512,0.0394,0.1489,0.3717,0.1519,0.0,60.7152,970106000.0,4.1173,-0.9726,27.6184,20.3465,0.2435,3.4463,0.0343,0.9695,0.117,0.0487,21.7391,1.1081,2.7593,37.5625,0.321,0.0144,13.2857,8.6468,-1.1135,76.4758,18.7904,17.9025,5.2308,0.1123,0.1201,2020,TER
3,7.0222,0.2795,8.404,113652500.0,0.0587,5.4543,0.3522,1119855000.0,8.6851,24.1809,326817500.0,12.3862,175116000.0,26.1677,1501256000.0,5.0638,2746810000.0,-134642000.0,48.386,4.847,7.8514,0.3114,444108000.0,57.6324,2.4274,-1.1159,0.2037,0.0414,0.1905,0.3246,0.1944,0.0,75.1644,352028000.0,2.6059,-0.7379,25.0474,20.0915,0.1702,3.0775,0.0382,0.8355,0.0922,0.0303,19.2203,1.2381,2.3628,23.4749,0.3768,0.0165,8.6851,5.3468,-0.79,53.7206,13.4661,16.4965,3.3959,0.1484,0.1407,2019,TER
4,7.449,0.2496,9.4121,93540500.0,0.0544,6.7447,0.377,1256195000.0,8.1118,12.9136,282025000.0,5.802,130533000.0,16.2458,1738000000.0,2.8033,2908075500.0,-114379000.0,41.7433,2.5414,3.8684,0.2599,362502000.0,50.6057,2.0248,-1.0102,0.2151,0.0774,0.186,0.2941,0.1874,0.0,63.6551,548230000.0,1.9316,-1.2552,14.728,11.2684,0.1554,3.6375,0.0616,0.7224,0.0653,0.0931,11.1955,1.0556,2.9564,21.0597,0.4046,0.016,8.1118,5.9511,-0.6095,31.5982,11.194,9.095,2.541,0.1404,0.1435,2018,TER
5,9.1852,0.1873,10.0702,90877500.0,0.0493,7.5172,0.606,1815945000.0,9.8635,34.2481,232613500.0,5.3932,121741500.0,16.7921,1891152500.0,4.0956,2936019000.0,-105375000.0,34.457,3.5222,4.4792,0.1363,521120000.0,46.6,1.8478,-0.975,0.1206,0.0292,0.1633,0.1236,0.1065,0.0,42.8853,1114382000.0,2.631,-2.2289,14.441,14.325,0.0878,4.9969,0.0596,0.7277,0.0874,0.1273,12.0121,2.4312,4.5134,16.92,0.4026,0.016,9.8635,8.9758,-0.532,59.3376,10.7872,11.8808,3.163,0.1177,0.1438,2017,TER
6,8.6851,0.1929,8.4662,93860000.0,0.0486,5.4889,-0.0393,1251107000.0,9.0269,0.0,201868500.0,3.4164,144773000.0,13.8986,1897222500.0,2.9325,2655583500.0,-85272000.0,43.8023,2.5677,2.8116,-0.0229,369925000.0,40.0639,1.7409,-0.2274,-0.0248,-0.0083,0.1805,-0.0289,0.1172,0.0,62.4491,689969000.0,1.8261,-2.6483,12.1696,0.0,-0.0164,4.3569,0.0719,0.6602,0.0599,0.1342,9.8899,-10.4833,3.6795,0.0,1.4772,0.0175,9.0269,5.8195,-0.4209,138.0917,8.6547,14.4297,2.247,0.1277,0.1666,2016,TER
7,9.0503,0.0,10.333,70060500.0,0.0548,5.5963,0.1241,887111000.0,9.2926,21.3093,181163500.0,3.5333,129358500.0,13.1232,2022383000.0,2.6669,2543597000.0,-89878000.0,46.5659,2.4323,2.2244,0.1021,333198000.0,47.0377,0.0,-0.6385,0.1259,0.0469,0.1868,0.1779,0.2857,0.0,77.4374,677080000.0,1.5751,-1.9346,11.9687,16.4134,0.0812,3.3792,0.0762,0.6446,0.0553,0.1548,9.426,2.049,2.5578,14.2411,0.5149,0.0186,9.2926,3.5094,-0.4249,86.6379,7.7505,10.3922,1.9999,0.0,0.1782,2015,TER
8,10.6767,0.0,13.9016,55318500.0,0.1025,6.3276,0.0482,952295000.0,10.2459,44.9773,154338000.0,2.4865,121534000.0,12.429,2032037000.0,2.4369,2584172000.0,-168982000.0,22.6699,2.1515,1.9315,0.04,323080000.0,33.4547,0.0,-0.6721,0.0493,0.0222,0.194,0.0634,0.1828,0.0,49.8976,784306000.0,1.5922,-2.3804,10.9732,36.7675,0.0314,4.2663,0.0805,0.6377,0.0561,0.1953,7.2048,6.0545,3.3582,10.0715,0.7642,0.0245,10.2459,4.0809,-0.8328,22.9516,8.121,10.1914,2.425,0.0,0.177,2014,TER
9,9.1809,0.094,10.2169,60599000.0,0.0747,4.4646,0.0958,964645000.0,10.4056,20.4884,155532500.0,2.4518,138674500.0,20.7521,1881724500.0,2.354,2529584500.0,-106731000.0,37.0664,1.9543,1.6933,0.0877,161979000.0,40.2955,0.9785,-0.7083,0.1155,0.0488,0.1958,0.133,0.2335,0.0,81.3199,795547000.0,0.8491,-2.1733,17.2282,14.6366,0.0652,3.0281,0.0482,0.5645,-0.0021,0.2367,10.3852,1.6291,2.2836,14.1897,0.5475,0.0256,10.4056,4.8672,-0.5595,75.9193,7.485,8.1753,1.4085,0.071,0.1849,2013,TER
0,2.9212,0.0474,9.9799,22334000.0,0.0186,0.0,0.0515,81141000.0,5.5783,111.3158,396592000.0,46.9044,,36.4592,1454657500.0,10.5044,2653328500.0,-21540000.0,35.9496,10.0907,7.583,0.0742,333345000.0,139.4173,0.2642,-0.3944,0.0932,0.009,0.5162,0.8014,0.4865,0.0,0.0,-42294000.0,1.1587,-3.2515,35.0231,125.9587,0.0407,1.0782,0.0274,0.4366,0.1347,-0.0035,32.9413,3.2872,0.9622,6.9061,1.0193,0.1268,5.5783,1.9303,-0.0749,101.0547,4.0269,79.2986,1.2335,0.0275,0.1885,2023,DT
1,3.1361,0.22,10.6925,16168000.0,0.019,0.0,0.045,82823000.0,4.5905,261.6667,296372500.0,0.0,,57.278,1209023500.0,14.4,2398764000.0,-17695000.0,47.9591,14.2106,10.2603,0.0434,233222000.0,137.7092,1.0097,-0.3111,0.0564,0.0038,0.5258,0.4095,0.546,0.0,0.0,-288442000.0,0.8207,-1.274,56.5246,162.4454,0.0219,1.0957,0.0175,0.3875,0.1001,-0.0216,52.6387,4.7838,0.94,4.3118,1.2563,0.1071,4.5905,1.6292,-0.0623,151.5654,3.2708,95.5829,0.883,0.1129,0.1682,2022,DT
2,3.5252,0.36,12.3193,10366500.0,0.0194,0.0,0.0483,32371000.0,3.9705,172.2857,199568500.0,0.0,,65.4392,1039652550.0,19.2319,2151547500.0,-13682000.0,27.4976,19.3399,12.1496,0.0728,206754000.0,125.5973,1.4294,-0.2244,0.1076,0.0058,0.48,1.0928,0.6297,0.0,0.0,-462335000.0,0.7372,0.4969,65.8066,148.0562,0.0352,1.05,0.0153,0.327,0.0998,-0.0342,61.7221,2.9114,0.8752,5.0014,1.6514,0.0821,3.9705,1.1586,-0.0488,157.5599,2.5083,89.0081,0.786,0.1777,0.1584,2021,DT
3,4.0061,0.5281,14.5924,8835500.0,0.0394,0.0,-0.0851,-2406000.0,3.6451,0.0,136244500.0,0.0,,0.0,287723050.0,11.5719,1929121500.0,-21505000.0,31.4578,12.1332,6.5403,-1.4382,-163960000.0,105.0309,1.925,-0.3243,-0.7582,-0.0675,0.7845,-14.2195,0.7193,0.0,0.0,-593396000.0,-0.6189,-2.8103,-40.3898,0.0,-0.2145,0.9951,-0.026,0.2829,-0.103,-0.094,-46.4871,0.3442,0.7553,0.0,2.1049,0.4076,3.6451,0.8046,-0.0812,97.7089,2.0602,0.0,-0.5377,0.2492,0.2185,2020,DT
4,3.1639,-2.617,22.3456,4779500.0,0.0258,0.0,-0.0784,-737683000.0,-1.6541,0.0,136215500.0,0.0,,50.894,-329629000.0,12.4512,905683000.0,-11123000.0,22.4158,14.5484,0.0,0.3525,136018000.0,97.7625,4.3286,-0.1388,-0.2696,-0.0088,0.628,0.1614,0.8442,0.0,0.0,-1988406000.0,0.5765,131.0074,59.4662,0.0,-0.1283,0.2242,0.0196,0.4758,0.1894,-0.3568,53.9627,-1.2663,0.1754,0.0,4.4692,0.1651,-1.6541,0.2175,-0.0471,165.9197,1.8266,0.0,0.6236,0.5638,0.1781,2019,DT
5,2.6187,0.0,15.2178,6343500.0,0.0474,0.0,-0.0081,-1759000000.0,0.0,0.0,152000000.0,0.0,,50.894,-329500000.0,12.4512,1855000000.0,-18852000.0,11.3432,14.5484,0.0,-0.028,99986000.0,143.9654,7.5316,-0.2292,0.0232,-0.0088,0.5262,-0.0053,0.0,0.0,0.0,244000000.0,0.4311,27.5964,59.4662,0.0,0.005,0.1218,0.0196,0.2146,0.0553,-0.3568,53.9627,12.8864,0.1173,0.0,4.5688,0.056,0.0,0.3363,-0.0813,165.9197,1.716,0.0,0.5123,0.0,0.1465,2018,DT
6,0.0,0.0,24.2956,6343500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.894,0.0,12.4512,0.0,-13876000.0,22.9417,14.5484,0.0,0.0,94560000.0,0.0,0.0,0.0,0.002,-0.0088,0.441,0.0,0.0,0.0,0.0,0.0,0.3372,0.0,59.4662,0.0,0.0,0.0,0.0196,0.0,0.0,-0.3568,53.9627,118.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.9197,1.4492,0.0,0.3372,0.0,0.1301,2017,DT
0,7.1854,0.1472,8.1557,716117000.0,0.0052,3.9051,0.2611,1804774000.0,37.2635,20.5992,991386000.0,6.6889,1495585000.0,21.0463,1698958500.0,1.8518,3439903000.0,-36793000.0,48.548,1.8308,6.6889,0.3767,626787000.0,58.8356,5.4852,-1.0541,0.0898,0.0485,0.0301,0.3055,0.0,0.0,90.3405,1476867000.0,11.8429,-0.1886,20.8067,17.134,0.1861,2.3129,0.0475,2.0708,0.1381,0.112,19.6531,1.0368,1.1557,100.7223,0.1203,0.0076,37.2635,8.3223,-0.6952,-1412.5234,134.5958,16.3827,12.5381,0.079,0.0431,2023,SMCI
1,8.0042,0.4186,6.9353,633869500.0,0.0087,3.3992,0.1194,1336291000.0,27.6962,7.323,649173500.0,1.4569,1293285000.0,0.0,1261072500.0,0.3997,2723520500.0,-45182000.0,54.4169,0.4631,1.4569,0.2261,-485983000.0,58.6204,11.5926,-1.3915,0.0549,0.1366,0.0371,0.1758,0.0,0.0,128.3288,1026985000.0,-9.4406,0.8959,-4.9518,7.18,0.1047,1.909,-0.234,1.9079,-0.3174,0.4944,-5.4594,-1.5458,0.7496,58.5973,0.1135,0.0063,27.6962,5.1944,-0.8777,-82.6129,100.9382,6.5459,-8.5629,0.1862,0.0524,2022,SMCI
2,8.2008,0.0896,5.8696,515004500.0,0.0163,3.1947,0.0805,898363000.0,21.432,16.0639,433789500.0,1.6415,946231000.0,27.7138,1081052500.0,0.5059,2080305000.0,-58016000.0,73.9369,0.4682,1.6415,0.1035,64939000.0,47.5905,1.9194,-2.0584,0.0314,0.0623,0.0523,0.0954,0.0,0.0,125.6918,721693000.0,1.2694,-0.8813,25.6491,13.4382,0.0538,1.9272,0.0361,1.71,-0.1064,0.401,13.5466,1.0991,0.7184,32.4971,0.1026,0.008,21.432,4.5403,-1.1341,28.3137,69.5393,10.9486,2.4035,0.0438,0.0631,2021,SMCI
3,8.3757,0.0276,7.2302,389071500.0,0.0133,3.6973,0.0605,885126000.0,20.9015,19.1824,398684500.0,1.3583,760843000.0,0.0,1003441500.0,0.4335,1800620000.0,-44338000.0,54.1937,0.3792,1.3583,0.084,-74672000.0,44.1313,0.5766,-1.5572,0.0252,0.0521,0.0656,0.0753,0.0,0.0,110.4831,739822000.0,-1.4645,-1.5871,-16.9594,14.7849,0.0468,2.2508,-0.0516,1.8545,-0.2023,0.5111,-41.7482,-0.3598,0.8681,26.3822,0.1218,0.006,20.9015,4.1292,-0.8696,-15.0705,65.4928,11.0964,-0.5949,0.0153,0.0663,2020,SMCI
4,8.2847,0.0251,6.7705,443814000.0,0.0071,3.9448,0.0848,815802000.0,18.8548,13.4825,422508500.0,1.0226,761720000.0,4.0487,892413950.0,0.2749,1726049500.0,-24849000.0,43.7866,0.22,1.0226,0.0806,237705000.0,41.0451,0.4737,-1.0267,0.0205,0.0742,0.0624,0.0703,0.0,0.0,81.4083,680353000.0,4.762,-1.8489,3.2399,7.9205,0.0417,2.3463,0.247,2.028,0.0455,0.7069,2.9332,3.6507,1.0591,0.0,0.1167,0.0061,18.8548,4.9715,-0.4978,11.7575,70.1236,6.3419,5.2598,0.0141,0.0514,2019,SMCI
5,8.6678,0.1377,6.3427,462026500.0,0.0074,3.6863,0.0701,719321000.0,17.097,17.1678,387698500.0,1.4359,794960000.0,20.3521,808748900.0,0.3605,1642317500.0,-24824000.0,65.6587,0.3703,1.4359,0.0571,59523000.0,49.0281,2.3545,-1.1363,0.0137,0.0582,0.0506,0.0504,0.0,0.0,106.2744,605025000.0,1.2063,0.0069,20.9075,13.1393,0.0281,1.8863,0.0491,2.0462,-0.1044,0.4994,14.7542,1.8271,0.6984,0.0,0.1111,0.0073,17.097,2.3382,-0.5031,18.6481,68.102,10.6767,1.7093,0.0657,0.0491,2018,SMCI
6,9.9609,0.2086,6.4279,332143000.0,0.0118,3.4065,0.0719,588636000.0,15.9942,17.2378,249468500.0,1.5412,626737500.0,0.0,735249450.0,0.4799,1353306500.0,-29365000.0,67.8542,0.5134,1.5412,0.0909,-125553000.0,47.5915,3.3369,-1.7953,0.0269,0.058,0.0447,0.0852,0.0,0.0,125.9426,519882000.0,-2.595,0.4571,-10.1609,13.4465,0.0494,1.8753,-0.1053,1.8362,-0.279,0.4359,-13.2629,-1.4388,0.6462,22.6851,0.0836,0.0079,15.9942,2.2861,-0.6069,-209.1986,51.3595,11.4691,-1.9881,0.1066,0.0579,2017,SMCI
7,8.9443,0.1343,6.6807,283582500.0,0.0153,3.8652,0.1099,544698000.0,14.5387,15.0606,248763500.0,1.7092,490150000.0,16.1174,657869000.0,0.5352,1140646000.0,-34108000.0,51.5158,0.4969,1.7092,0.1096,73879000.0,28.6966,1.9531,-2.568,0.0324,0.0664,0.0444,0.0984,0.0,0.0,99.5685,459498000.0,1.5418,-0.7057,14.9637,10.2847,0.0632,2.3297,0.062,1.9507,-0.0825,0.3859,10.2374,1.4981,0.8636,23.2325,0.0707,0.0076,14.5387,3.7319,-0.7118,86.2791,46.4349,9.1536,2.2536,0.0785,0.0558,2016,SMCI
8,7.3015,0.1525,6.3482,259564000.0,0.018,4.2287,0.1341,460308000.0,13.3326,13.5068,267666000.0,2.2186,389665000.0,0.0,544158000.0,0.7028,943067000.0,-35100000.0,66.4034,0.7023,2.2186,0.1701,-81225000.0,60.2485,2.0333,-4.3365,0.0474,0.074,0.0371,0.1485,0.0,0.0,102.6691,443691000.0,-1.7493,-0.0073,-16.8974,10.347,0.0981,2.0137,-0.0591,2.0723,-0.2586,0.323,-29.7558,-0.4984,0.9206,25.6313,0.0496,0.0074,13.3326,2.0554,-0.7559,-24.8875,42.0888,9.7519,-0.9933,0.0866,0.0519,2015,SMCI
9,8.1043,0.0986,6.3316,196104500.0,0.0276,4.3566,0.1198,343195000.0,10.7624,20.379,181039000.0,2.348,285003500.0,0.0,421477500.0,0.7509,714291000.0,-40567000.0,64.4817,0.7164,2.348,0.1285,-34029000.0,52.9234,1.0617,-6.3745,0.0369,0.0491,0.0416,0.1143,0.0,0.0,92.8441,326987000.0,-0.7805,-0.584,-30.8902,13.0971,0.0758,2.1039,-0.0309,2.0541,-0.2026,0.2968,160.7773,0.1207,0.9959,17.3283,0.0487,0.0075,10.7624,2.2219,-0.9305,-185.6042,33.6522,12.1349,0.15,0.0581,0.0574,2014,SMCI
0,4.0077,1.7022,4.5993,273098000.0,-0.0108,0.0,-0.0074,1360125000.0,5.1207,0.0,702907000.0,0.0,,8.9965,1902838500.0,1.4153,5847923000.0,30389000.0,79.388,2.1814,2.0954,-0.1013,443162000.0,91.0621,8.7163,0.0543,-0.0684,-0.0485,0.3909,-0.134,0.5988,0.0,0.0,-2006086000.0,1.1927,4.2155,13.8666,0.0,-0.033,3.3493,0.1112,0.4817,0.0537,-0.5032,14.8874,-2.1415,3.0802,0.0,7.1268,0.068,5.1207,2.9079,0.0818,24.4298,7.5815,12.0029,1.1109,0.5538,0.1802,2022,APP
1,4.9724,1.7588,4.9772,265610000.0,0.0,0.0,0.0,1360000000.0,5.1156,1348.2857,608760000.0,0.0,,86.0228,2020545000.0,10.9763,6005789500.0,-6611000.0,75.3744,11.2145,14.339,-0.0955,431671000.0,84.7687,8.9973,0.0,-0.0638,0.0007,0.329,-0.1288,0.5987,0.0,0.0,-2006000000.0,1.1604,3.0201,87.8892,208.7989,-0.0321,3.3489,0.0116,0.504,0.0462,-0.0258,86.5638,-2.2366,3.0933,0.0,3.9359,0.0,5.1156,2.9247,0.0,360.619,8.1371,52.7412,1.1604,0.5723,0.1678,2022,APP
2,5.426,1.5134,3.8282,258110000.0,0.002,0.0,0.0334,2594967000.0,6.5821,1346.5714,514760000.0,0.0,,85.9135,2138045000.0,10.9624,6163789500.0,-5457000.0,95.3859,11.2005,14.3207,0.0148,356394000.0,67.237,9.961,-0.0123,0.0114,0.0007,0.4613,0.0119,0.4341,0.0,0.0,-790425000.0,1.0972,1.12,87.7799,208.5391,0.0051,5.054,0.0116,0.4531,0.0375,-0.0258,86.4561,11.4138,4.8196,3.2197,6.9785,0.0477,6.5821,7.9132,-0.0168,360.1605,8.5985,52.6755,1.1139,0.525,0.1312,2021,APP
3,6.8796,1.5688,4.9892,202637500.0,0.0,0.0,0.0,2595000000.0,5.7013,0.0,405982000.0,0.0,,61.4835,789933000.0,8.0796,4159296500.0,-5457000.0,93.1454,8.8567,0.0,0.0405,388705000.0,67.3022,8.944,0.0,0.0115,-0.0063,0.4533,0.0117,0.4341,0.0,0.0,-790000000.0,1.0365,1.3442,67.3975,0.0,0.0077,5.0547,0.0163,0.6715,0.0315,-0.108,66.5059,12.147,4.825,4.6867,3.1931,0.0,5.7013,6.8613,0.0,234.573,7.448,64.4055,1.0365,0.5441,0.131,2021,APP
4,4.8861,-10.0867,3.7759,147137500.0,0.0022,0.0,-0.0345,64942000.0,-0.7376,0.0,296982000.0,0.0,,61.4835,-558067000.0,8.0796,2154796500.0,-3241000.0,96.7558,8.8567,0.0,0.2243,219642000.0,74.6971,7.4403,-0.0123,-0.0863,-0.0063,0.4784,-1.3385,0.6201,0.0,0.0,-1650144000.0,1.0219,6.376,67.3975,0.0,-0.0581,1.1086,0.0163,0.6734,0.1105,-0.108,66.5059,-1.7804,1.027,4.5221,9.2036,0.043,-0.7376,1.4759,-0.0151,234.573,6.7512,64.4055,1.037,0.7422,0.1245,2020,APP
5,6.3315,-10.6792,5.2133,108761000.0,0.0,0.0,0.0,65000000.0,-0.4441,0.0,229173000.0,0.0,,61.4835,-607078000.0,8.0796,1678742500.0,-3241000.0,94.6296,8.8567,0.0,0.2059,231695000.0,74.7105,4.743,0.0,-0.0861,-0.0063,0.4707,-0.7022,0.62,0.0,0.0,-1650000000.0,0.6472,5.0218,67.3975,0.0,-0.0745,1.1087,0.0163,0.8643,0.064,-0.108,66.5059,-1.8536,1.0268,0.0,2.2562,0.0,-0.4441,0.8855,0.0,234.573,4.0531,64.4055,0.6472,0.7879,0.1247,2020,APP
6,6.1679,-4.6015,3.4097,70761000.0,0.0034,0.0,0.2302,347346000.0,-1.2163,0.0,161173000.0,0.0,,61.4835,-656078000.0,8.0796,1202242500.0,-3358000.0,106.6859,8.8567,0.0,-0.1164,195104000.0,59.2406,5.5969,-0.0343,0.0768,-0.0063,0.5165,0.215,0.4807,0.0,0.0,-872831000.0,0.9249,2.6847,67.3975,0.0,0.0635,2.4541,0.0163,0.8269,0.1443,-0.108,66.5059,2.5985,2.3342,0.0,12.3763,0.0103,-1.2163,1.8785,-0.0159,234.573,4.7128,64.4055,0.9409,0.9818,0.0452,2019,APP
7,6.1673,-4.6615,3.5189,70761000.0,0.0,0.0,0.0,347000000.0,-0.7179,0.0,161173000.0,0.0,,61.4835,-656078000.0,8.0796,601000000.0,-3358000.0,104.0763,8.8567,0.0,-0.1158,200704000.0,59.1197,3.3464,0.0,0.0765,-0.0063,0.5091,0.2054,0.4809,0.0,0.0,-873000000.0,0.5606,2.814,67.3975,0.0,0.1265,2.4519,0.0163,1.6539,0.1329,-0.108,66.5059,2.6408,2.3305,0.0,4.035,0.0,-0.7179,1.1061,0.0,234.573,2.7765,64.4055,0.5606,0.9967,0.0453,2019,APP
