,P/FCF ratio,EV/EBITDA,Intangible Assets out of Total Assets,Average Days of Receivables,EV/Sales,Capex to Sales,Free Cash Flow,"Selling, General and Administrative Expense of Revenue",Net Profit Margin,Cash per Share,P/S ratio,P/B ratio,Capital Expenditures,ROE,Graham Number,Interest Debt per Share,Operating CF per Share,Average Days of Payables,Debt/Equity,Operating CF/Net income,Revenue per Share,Graham Net Nets,ROIC,Research and Development Expense of Revenue,Working Capital,EV/EBIT,Capex per Share,Free Cash Flow Yield,Average Payables,Debt/Assets,Shareholders Equity per Share,Depreciation/Fixed assets,Average Receivables,Inventory Turnover,ROA,Quick Ratio,Net Debt/EBITDA,EV/Operating CF,Share Based Compensation of Revenue,P/E ratio,Net Current Asset Value,Average Inventory,Accounts Payable Turnover,Asset Turnover,Interest Coverage,Book value per Share,Cash ROIC,Current Ratio,Accounts Receivable Turnover,Price to Tangible BV,Average Common Equity,P/Operating CF,EV/FCF,Return on Tangible Assets,Average Assets,Free Cash Flow per Share,Earnings Yield,Days of Inventory on Hand,Capex/Depreciation,year,ticker
0,14.2039,3.4489,0.0747,4.3272,0.3541,0.0458,457000000.0,0.3287,0.0465,3.138,0.2565,1.5902,-1158000000.0,0.3056,37.8728,12.126,5.8791,114.5365,0.816,1.3721,92.1187,-1.0678,0.1651,0.0,992000000.0,5.1793,-4.2155,0.0704,5055500000.0,0.1975,14.8598,0.1468,298500000.0,3.539,0.0683,0.239,0.9503,5.5481,0.0021,5.5082,-6931000000.0,4325000000.0,3.0276,1.4688,0.0,14.8598,-0.5194,1.2041,84.7739,2.3002,3851500000.0,5.7597,19.6065,0.1705,17228000000.0,1.6636,0.1815,101.7545,-1.3341,2023,M
1,3.4463,2.9651,0.0718,4.2861,0.3862,0.0171,2279000000.0,0.3182,0.0565,5.5802,0.3105,2.169,-433000000.0,0.4632,35.3662,11.8155,8.8396,129.5413,1.0011,1.8965,82.4381,-0.9181,0.2654,0.0,1342000000.0,4.1562,-1.4113,0.2902,5106500000.0,0.2061,11.8025,0.1666,286500000.0,3.667,0.081,0.3709,0.5808,3.6014,0.0022,5.4352,-7211000000.0,4078500000.0,2.9288,1.4331,0.0,11.8025,-0.3296,1.2478,88.2792,3.3308,3087000000.0,4.1978,4.2857,0.2041,17648000000.0,7.4283,0.184,106.9668,-0.4587,2022,M
2,15.4604,0.0,0.0714,5.5667,0.4286,0.0195,296000000.0,0.3739,-0.2179,5.397,0.2529,1.7925,-353000000.0,-0.8833,0.0,15.6188,2.0861,145.7207,1.9033,-0.1646,58.171,-1.9599,-0.4879,0.0,827000000.0,0.0,-1.1347,0.0647,5017500000.0,0.2744,8.2064,0.1645,342500000.0,2.7418,-0.2029,0.3649,-0.9091,11.9511,0.0017,0.0,-8969000000.0,4481000000.0,2.4486,0.931,0.0,8.2064,-0.582,1.1544,52.838,3.553,4465000000.0,11.2995,26.2037,-0.5828,19439000000.0,0.9515,-0.8634,112.1203,-0.3613,2021,M
3,7.7668,4.3042,0.2053,5.8934,0.3322,0.0384,636000000.0,0.3552,0.0223,2.2118,0.195,0.7746,-972000000.0,0.088,29.1175,13.4324,5.1921,123.423,0.6523,2.8511,81.7921,-1.6165,0.0615,0.0,1060000000.0,8.675,-3.1385,0.1288,5075500000.0,0.1965,20.5909,0.1485,404500000.0,2.9033,0.0279,0.1903,1.7775,5.233,0.0015,8.7158,-7985000000.0,5225500000.0,2.9891,1.2551,0.0,20.5909,-0.4478,1.1843,62.623,2.4334,6406500000.0,3.4399,13.2307,0.0733,20183000000.0,2.0536,0.1147,124.8184,-0.9868,2020,M
4,6.3371,4.3507,0.2285,5.6723,0.4538,0.0178,1277000000.0,0.3512,0.043,3.7764,0.3144,1.2574,-458000000.0,0.1821,41.1039,15.4404,5.6386,120.4512,0.7382,1.5659,83.6497,-0.6565,0.1084,0.0,2213000000.0,6.7212,-1.4885,0.1578,4941000000.0,0.2475,20.9165,0.1427,381500000.0,2.9145,0.0571,0.2985,1.3367,6.7329,0.0024,7.3259,-5313000000.0,5220500000.0,3.0793,1.3275,0.0,20.9165,-0.397,1.423,67.4679,3.9476,6084500000.0,6.1964,9.1476,0.1252,19388500000.0,4.1501,0.1365,126.2567,-0.4836,2019,M
5,4.871,4.3961,0.2239,5.1673,0.4818,0.0136,1627000000.0,0.3492,0.0611,4.7642,0.3091,1.3824,-349000000.0,0.3115,46.2756,19.2633,6.4702,116.8741,1.0262,1.2618,83.9587,-0.7828,0.1147,0.0,2467000000.0,6.6272,-1.1428,0.2053,4923500000.0,0.3004,18.7721,0.1418,442500000.0,2.8706,0.0794,0.351,1.5758,6.2516,0.0023,5.1183,-6204000000.0,5288500000.0,3.0834,1.3005,0.0,18.7721,-0.3593,1.4763,57.9458,5.8792,5027500000.0,5.0254,7.5926,0.1714,19717000000.0,5.3274,0.1954,124.4958,-0.3689,2018,M
6,5.8342,6.0816,0.2214,7.1725,0.5529,0.009,1562000000.0,0.3485,0.0236,4.2042,0.3431,2.1085,-239000000.0,0.1462,25.1712,22.2723,5.8379,116.1681,1.5898,2.8724,86.107,-0.8672,0.0866,0.0,1979000000.0,10.7127,-0.7747,0.1714,4922500000.0,0.3461,14.0097,0.1488,540000000.0,2.8732,0.031,0.3221,2.3081,8.155,0.0023,14.6965,-7903000000.0,5452500000.0,3.1825,1.3142,0.0,14.0097,-0.4176,1.3505,49.1926,0.0,4287500000.0,6.1039,9.4027,0.0697,20213500000.0,5.0632,0.068,125.7906,-0.2289,2017,M
7,12.4975,6.4688,0.2144,7.5213,0.7372,0.0336,1075000000.0,0.3127,0.0396,3.377,0.4961,3.1589,-909000000.0,0.2226,31.1033,23.2552,6.0414,107.513,1.7957,1.8507,82.4574,-0.6454,0.1182,0.0,1924000000.0,9.7905,-2.768,0.08,4781000000.0,0.3712,12.9507,0.1375,491000000.0,3.0204,0.0512,0.291,2.1154,10.0619,0.0024,12.3223,-8671000000.0,5461500000.0,3.4503,1.2924,0.0,12.9507,-0.4333,1.3359,55.1507,0.0,4815500000.0,7.8751,18.5701,0.1124,20953000000.0,3.2734,0.0812,121.8289,-0.8682,2016,M
8,12.574,7.2722,0.1987,5.5065,0.9913,0.0319,1813000000.0,0.2973,0.0543,6.3232,0.8111,4.2389,-896000000.0,0.2625,38.4512,20.5771,7.6267,101.7965,1.3591,1.7752,79.1244,-0.3234,0.1676,0.0,3505000000.0,9.9499,-2.5225,0.0795,4602000000.0,0.3427,15.1408,0.1322,431000000.0,3.0733,0.0711,0.5261,1.3216,10.2841,0.0026,14.788,-7372000000.0,5487000000.0,3.6643,1.3087,0.0,15.1408,-0.3409,1.6906,65.2088,20.0147,5813500000.0,12.2038,15.3666,0.135,21475000000.0,5.1042,0.0676,117.2511,-0.8691,2015,M
9,11.0702,6.7831,0.1975,5.7237,0.8961,0.0262,1818000000.0,0.3022,0.0532,6.0085,0.7205,3.2206,-731000000.0,0.2416,38.4126,18.9717,6.738,98.2281,1.1485,1.7153,73.8329,-0.3321,0.1501,0.0,2962000000.0,9.3464,-1.9323,0.0903,4345000000.0,0.332,16.5186,0.1276,404500000.0,3.0787,0.0697,0.4735,1.329,9.8194,0.0022,13.4005,-6683000000.0,5432500000.0,3.8493,1.311,0.0,16.5186,-0.3428,1.5173,69.0507,10.1696,6150000000.0,11.6333,13.7676,0.1364,21305500000.0,4.8057,0.0746,121.2738,-0.7223,2014,M
