,P/FCF ratio,EV/EBITDA,Intangible Assets out of Total Assets,Average Days of Receivables,EV/Sales,Capex to Sales,Free Cash Flow,"Selling, General and Administrative Expense of Revenue",Net Profit Margin,Cash per Share,P/S ratio,P/B ratio,Capital Expenditures,ROE,Graham Number,Interest Debt per Share,Operating CF per Share,Average Days of Payables,Debt/Equity,Operating CF/Net income,Revenue per Share,Graham Net Nets,ROIC,Research and Development Expense of Revenue,Working Capital,EV/EBIT,Capex per Share,Free Cash Flow Yield,Average Payables,Debt/Assets,Shareholders Equity per Share,Depreciation/Fixed assets,Average Receivables,Inventory Turnover,ROA,Quick Ratio,Net Debt/EBITDA,EV/Operating CF,Share Based Compensation of Revenue,P/E ratio,Net Current Asset Value,Average Inventory,Accounts Payable Turnover,Asset Turnover,Interest Coverage,Book value per Share,Cash ROIC,Current Ratio,Accounts Receivable Turnover,Price to Tangible BV,Average Common Equity,P/Operating CF,EV/FCF,Return on Tangible Assets,Average Assets,Free Cash Flow per Share,Earnings Yield,Days of Inventory on Hand,Capex/Depreciation,year,ticker
0,0.0,16.3636,0.0438,30.0815,1.7246,0.1135,-11569000000.0,0.2693,-0.0053,6.8727,1.7013,5.9874,-58321000000.0,-0.0191,0.0,8.0483,4.5885,100.5917,0.5615,-17.1756,50.4449,-0.1942,0.0484,0.1424,-8602000000.0,72.3708,-5.7239,-0.0132,79132000000.0,0.1772,14.3334,0.2245,37625500000.0,8.616,-0.0062,0.7232,0.2211,18.9596,0.0382,0.0,-169841000000.0,33522500000.0,3.65,1.1639,0.0,14.3334,-0.4696,0.9446,13.6605,6.9534,142144000000.0,29.9736,-76.6184,-0.0153,441612000000.0002,-1.1354,-0.0031,43.4781,-1.3912,2022,AMZN
1,0.0,27.9088,0.0365,25.5527,3.5233,0.1179,-9069000000.0,0.2479,0.071,9.4938,3.5901,12.2008,-55396000000.0,0.2881,31.8359,6.3919,4.5791,105.4268,0.4678,1.3885,46.4389,-0.0716,0.1455,0.1193,19314000000.0,66.535,-5.4755,-0.0054,75601500000.0,0.1538,13.6646,0.2148,28716500000.0,9.6516,0.09,0.9063,-0.5291,35.7313,0.0272,50.5749,-120724000000.0,28217500000.0,3.6024,1.2668,0.0,13.6646,-0.3812,1.1358,16.3607,13.7271,115824500000.0,76.3699,-182.5256,0.1858,370872000000.0,-0.8964,0.0198,43.7447,-1.6088,2021,AMZN
2,52.5246,33.1298,0.0468,23.203,4.1259,0.0908,31020000000.0,0.2259,0.0553,8.4354,4.2203,17.4437,-35044000000.0,0.2744,21.1522,4.7907,6.6031,113.4845,0.5132,3.0971,38.5871,-0.0583,0.2514,0.1107,6348000000.0,69.5598,-3.5026,0.019,59861000000.0,0.1492,9.3357,0.2226,22679000000.0,10.5349,0.0781,0.862,-0.7584,24.1107,0.0239,76.4554,-95058000000.0,22146000000.0,3.8975,1.413,0.0,9.3357,-0.2084,1.0502,17.023,20.7855,77732000000.0,53.5413,51.3491,0.1786,273221500000.0,3.1004,0.0131,37.2264,-1.3917,2020,AMZN
3,35.3461,24.65,0.0655,27.0846,3.1924,0.0452,25825000000.0,0.2293,0.0413,5.5689,3.254,14.7086,-12689000000.0,0.2195,12.8729,3.8202,3.8982,104.0366,0.6082,3.3236,28.3929,-0.0732,0.2029,0.1281,8522000000.0,61.587,-1.2843,0.0283,42687500000.0,0.1676,6.2814,0.2997,18746500000.0,8.7885,0.0597,0.8636,-0.4756,23.2522,0.0245,78.7974,-66854000000.0,18835500000.0,3.8779,1.4464,0.0,6.2814,-0.2208,1.097,14.964,19.2959,52804500000.0,46.4323,34.6771,0.1427,193948000000.0,2.6139,0.0127,45.195,-0.5824,2019,AMZN
4,37.7048,25.7085,0.0894,26.1376,3.0647,0.0486,19400000000.0,0.224,0.0433,4.2351,3.1409,16.7966,-11323000000.0,0.2827,10.1942,3.3878,3.1543,100.1759,0.7577,3.05,23.9104,-0.0601,0.2199,0.1238,6710000000.0,57.4607,-1.1625,0.0265,36404000000.0,0.2029,4.4711,0.2482,14920500000.0,8.3776,0.0685,0.847,-0.2973,23.2308,0.0233,72.7009,-43998000000.0,16610500000.0,3.8225,1.5845,0.0,4.4711,-0.2638,1.0981,15.6085,25.2224,35629000000.0,44.3936,36.7896,0.147,146979000000.0,1.9918,0.0138,45.0466,-0.7381,2018,AMZN
5,68.7035,36.2216,0.1017,27.0139,3.1736,0.0565,8307000000.0,0.2192,0.0171,3.2277,3.2087,20.5969,-10058000000.0,0.1291,4.5265,3.2214,1.913,112.8776,1.1161,6.0551,18.5277,-0.0761,0.0928,0.1272,2314000000.0,137.4761,-1.0477,0.0146,29962500000.0,0.2355,2.8864,0.2349,10751500000.0,8.1383,0.0283,0.7627,-0.0039,30.7366,0.0237,188.4311,-43404000000.0,13754000000.0,3.7358,1.6568,0.0,2.8864,-0.3403,1.04,16.5434,39.7465,23497000000.0,46.1822,67.952,0.0593,107356000000.0,0.8653,0.0053,52.3269,-0.8763,2017,AMZN
6,34.1302,27.5499,0.0454,22.3825,2.4923,0.0495,10466000000.0,0.2006,0.0174,2.7406,2.6268,18.5225,-6737000000.0,0.1452,3.3827,1.3598,1.8147,104.6597,0.6684,7.2556,14.3446,-0.0513,0.4223,0.1183,1965000000.0,80.965,-0.7107,0.0293,22853000000.0,0.1546,2.0343,0.2788,6996500000.0,8.1335,0.032,0.7833,-1.0641,19.7012,0.0219,150.72,-18336000000.0,10852000000.0,3.8623,1.8358,0.0,2.0343,-0.2048,1.0448,19.4364,23.0441,16334500000.0,32.7142,32.3829,0.0763,74074500000.0,1.104,0.0066,47.3944,-0.8301,2016,AMZN
7,42.3622,35.708,0.0581,19.2859,2.8411,0.0429,7450000000.0,0.1907,0.0056,2.1208,2.9494,23.5803,-4589000000.0,0.0494,1.4365,0.8808,1.289,103.9051,0.6147,20.1997,11.4567,-0.0496,0.7741,0.1172,1818000000.0,136.1476,-0.4913,0.0236,18428000000.0,0.1271,1.433,0.2876,5633000000.0,7.7285,0.01,0.7514,-1.3602,25.2527,0.0198,527.9688,-15658000000.0,9271000000.0,3.8882,1.7946,0.0,1.433,-0.2366,1.0536,18.9963,32.7895,12062500000.0,35.3374,40.8077,0.0252,59626000000.0,0.7976,0.0019,52.1792,-0.7306,2015,AMZN
8,73.5787,27.2652,0.0609,23.0186,1.5087,0.055,1949000000.0,0.1871,-0.0027,1.8848,1.6115,13.3512,-4893000000.0,-0.0235,0.0,0.8945,0.7405,95.7346,0.7695,-28.39,9.6307,-0.0867,0.07,0.1042,3238000000.0,754.2348,-0.5295,0.0136,15796000000.0,0.1516,1.1624,0.2797,5189500000.0,7.9888,-0.0051,0.8198,-1.8584,19.622,0.0168,0.0,-12437000000.0,7855000000.0,3.9727,1.8801,0.0,1.1624,-0.278,1.1153,17.1477,19.3216,10243500000.0,21.3559,68.8834,-0.0119,47332000000.0,0.2109,-0.0017,48.2715,-1.031,2014,AMZN
9,89.7349,43.2705,0.0661,23.3702,2.3236,0.0463,2031000000.0,0.1726,0.0037,1.3618,2.4479,18.7001,-3444000000.0,0.0305,0.8413,0.3491,0.599,101.9462,0.3274,19.9818,8.1457,-0.0318,0.9503,0.0882,1645000000.0,232.2089,-0.3768,0.0111,14225500000.0,0.0795,1.0663,0.2971,4292000000.0,8.0614,0.0075,0.7491,-2.3152,31.5974,0.0152,675.9322,-5788000000.0,6721000000.0,3.8087,2.0478,0.0,1.0663,-0.2156,1.0716,17.3467,25.7018,8969000000.0,32.6733,85.1775,0.0218,36357000000.0,0.2222,0.0015,49.9255,-1.0587,2013,AMZN
0,39.839,18.3734,0.005,13.2268,3.9252,0.0765,8493000000.0,0.0484,0.1545,7.0879,4.1535,7.4381,-6231000000.0,0.329,36.2718,1.145,4.7042,91.8688,0.0788,1.1702,26.0262,0.012,0.3174,0.0377,14208000000.0,23.4148,-1.9907,0.0251,12640000000.0,0.0435,14.5332,0.1591,2432500000.0,6.5185,0.1742,0.9411,-1.0688,21.7164,0.0192,26.8678,4068000000.0,9298000000.0,4.795,1.1277,0.0,14.5332,-0.1238,1.532,33.489,7.5056,38252000000.0,103.2193,37.6489,0.3333,72234500000.0,2.7134,0.0372,77.3191,-1.6629,2022,TSLA
1,275.9696,109.3738,0.0074,12.973,19.1708,0.1432,3787000000.0,0.0839,0.1026,5.9841,19.366,33.6075,-7710000000.0,0.2043,20.8871,2.4339,3.8854,90.9845,0.2322,2.0813,18.1896,-0.0039,0.1988,0.0482,7395000000.0,158.1837,-2.6056,0.0036,8038000000.0,0.1159,10.4816,0.1542,1899500000.0,8.1593,0.0967,0.9957,-1.1135,89.748,0.0394,190.4211,-4016000000.0,4929000000.0,5.0034,0.942,0.0,10.4816,-0.1321,1.3753,28.3354,34.1101,27045000000.0,227.3364,273.1883,0.2102,57139500000.0,1.2798,0.0053,52.2492,-2.6486,2021,TSLA
2,237.0841,150.7942,0.01,21.8287,20.6376,0.1004,2776000000.0,0.0997,0.0219,6.9278,20.8697,28.522,-3167000000.0,0.0452,6.7191,4.3124,2.124,88.678,0.5229,8.613,11.2709,-0.0036,0.0791,0.0473,12469000000.0,326.393,-1.1319,0.0042,4911000000.0,0.2314,8.247,0.1822,1605000000.0,6.5088,0.016,1.4928,-1.6956,109.5116,0.055,966.79,-2356000000.0,3826500000.0,5.0715,0.7295,0.0,8.247,-0.1248,1.8751,19.6486,29.1796,15271000000.0,218.0012,234.448,0.0274,43228500000.0,0.9921,0.001,60.1006,-1.3639,2020,TSLA
3,69.1662,39.1613,0.0157,19.6623,3.3221,0.0542,1073000000.0,0.1077,-0.0351,2.3555,3.0196,9.9391,-1332000000.0,-0.1304,0.0,5.1499,0.9038,67.1127,1.8353,-2.79,9.2364,-0.1986,-0.0029,0.0546,1436000000.0,0.0,-0.5006,0.0145,3588000000.0,0.3994,2.8061,0.2072,1136500000.0,6.1542,-0.0269,0.7117,3.5664,33.9506,0.0365,0.0,-14739000000.0,3332500000.0,5.716,0.7675,0.0,2.8061,-0.2912,1.1346,21.626,10.7093,6612000000.0,52.0809,76.0963,-0.0729,32024500000.0,0.4032,-0.012,63.2152,-0.6184,2019,TSLA
4,0.0,38.8021,0.0118,16.1402,3.023,0.0979,-3000000.0,0.1321,-0.0455,1.5158,2.6459,9.8635,-2101000000.0,-0.1776,0.0,4.6784,0.8199,71.3488,2.0796,-2.1496,8.3865,-0.2761,-0.0175,0.068,-1686000000.0,0.0,-0.821,-0.0001,2897625000.0,0.4026,2.2497,0.1818,732190500.0,6.4796,-0.0334,0.4831,4.8403,30.9234,0.0349,0.0,-15676000000.0,2688268500.0,6.0115,0.735,0.0,2.2497,-0.4272,0.8313,29.3107,10.502,5495794500.0,45.9791,-21625.7367,-0.1012,29197685000.0,-0.0012,-0.0174,65.2302,-1.0199,2018,TSLA
5,0.0,631.6092,0.0147,15.9975,5.1027,0.2904,-3476000000.0,0.2106,-0.1669,1.415,4.5252,10.1653,-3415000000.0,-0.3643,0.0,4.1425,-0.0245,91.4892,1.9705,0.0311,4.7225,-0.3167,-0.0848,0.1172,-1104150000.0,0.0,-1.3715,-0.0653,2125295500.0,0.36,2.1022,0.1722,507261500.0,4.4036,-0.0765,0.5262,71.4916,-983.6558,0.0397,0.0,-16850260000.0,2165495500.0,4.4869,0.4583,0.0,2.1022,-0.5289,0.8561,23.1813,11.0561,5386337500.0,104.429,-17.2621,-0.2199,25659725000.0,-1.396,-0.0368,86.6392,-1.9774,2017,TSLA
6,0.0,93.0214,0.0166,26.0262,4.9759,0.183,-1404631000.0,0.2046,-0.0964,1.6174,4.4715,5.652,-1280802000.0,-0.2038,0.0,3.2495,-0.0572,125.7249,1.2693,0.1835,3.236,-0.3471,-0.046,0.1192,432791000.0,0.0,-0.5921,-0.0449,1388244500.0,0.3102,2.5602,0.1741,334053500.0,3.2289,-0.0439,0.6861,9.4286,-281.2891,0.0477,0.0,-10866194000.0,1672646000.0,3.8904,0.4556,0.0,2.5602,-0.3801,1.0743,20.9551,6.0638,3310895000.0,-69.8362,-24.7978,-0.1052,15366009500.0,-0.6493,-0.0223,139.7219,-1.2294,2016,TSLA
7,0.0,0.0,0.0016,15.2427,7.9696,0.4041,-2159349000.0,0.2279,-0.2196,0.6342,7.6046,28.392,-1634850000.0,-0.8907,0.0,1.4021,-0.2727,107.091,2.488,0.5902,2.104,-0.1366,-0.1749,0.1774,-29029000.0,0.0,-0.8501,-0.0702,847047000.0,0.3342,0.5635,0.1471,197784500.0,2.7986,-0.1279,0.4939,-6.8374,-61.4782,0.0489,0.0,-4202229000.0,1115756500.0,3.6864,0.5822,0.0,0.5635,-0.7856,0.9897,20.4567,28.7317,997707050.0,-1030.8044,-14.9329,-0.2634,6949303000.0,-1.1229,-0.0287,149.3699,-3.2655,2015,TSLA
8,0.0,245.8604,0.0,25.8603,8.8383,0.3032,-1027222000.0,0.1887,-0.0919,1.0297,8.6619,30.3865,-969885000.0,-0.3725,0.0,1.3319,-0.0307,122.5675,2.729,0.195,1.7121,-0.0628,-0.079,0.1453,1072907000.0,0.0,-0.5192,-0.0371,540957500.0,0.4267,0.488,0.1649,137856500.0,3.5806,-0.0713,1.0205,4.909,-493.0171,0.0489,0.0,-1738884000.0,647015000.0,4.2826,0.7756,0.0,0.488,-0.3544,1.5092,23.2006,30.3865,789415050.0,-320.6373,-27.519,-0.1013,4123798500.0,-0.5499,-0.0106,150.2541,-3.2151,2014,TSLA
9,30977.3956,298.614,0.0,8.9023,8.8244,0.1312,580000.0,0.1418,-0.0368,0.4739,8.9232,26.932,-264224000.0,-0.1869,0.0,0.3344,0.1478,71.2473,0.8979,-3.5778,1.124,-0.0269,-0.0918,0.1152,590779000.0,0.0,-0.1475,0.0,303675500.0,0.2478,0.3724,0.1636,37975500.0,5.1153,-0.0419,1.3301,-4.2004,67.0979,0.0401,0.0,-483871000.0,304429500.0,5.128,1.1404,0.0,0.3724,-0.224,1.875,53.0209,26.932,395910050.0,134.0943,30634.1439,-0.0557,1765560000.0,0.0003,-0.004,79.7758,-2.1876,2013,TSLA
0,28.8189,13.7609,0.0974,7.6918,2.3617,0.0198,11496000000.0,0.167,0.1087,2.6977,2.1048,212.101,-3119000000.0,-255.2985,23.9858,42.2632,14.3004,39.9206,27.6524,0.8544,154.0147,-0.128,0.3577,0.0,9361000000.0,15.4639,-3.0519,0.0347,12452500000.0,0.565,1.5284,0.1161,3371500000.0,4.4565,0.2306,0.2628,1.4969,25.4354,0.0023,19.3766,-42412000000.0,23477000000.0,8.4019,2.1225,0.0,1.5284,-0.2319,1.4051,46.6863,0.0,-67000000.0,72.1162,32.3363,0.4888,74160500000.0,11.2485,0.0516,86.8185,-1.0484,2023,HD
1,27.6185,16.3902,0.1036,8.2728,2.8086,0.017,14005000000.0,0.1681,0.1087,2.223,2.5589,0.0,-2566000000.0,20.5028,0.0,38.0323,15.722,48.9771,-23.6356,1.0084,143.4127,-0.1151,0.3995,0.0,362000000.0,18.4262,-2.4345,0.0362,12534000000.0,0.5577,-1.6091,0.1136,3209000000.0,5.1854,0.2307,0.2011,1.4571,25.6195,0.0026,23.5546,-44517000000.0,19347500000.0,8.0042,2.1221,0.0,-1.6091,-0.2118,1.0126,47.1041,0.0,801500000.0,121.4433,30.3135,0.6429,71228500000.0,13.2875,0.0425,80.2873,-0.8966,2022,HD
2,17.7122,15.3579,0.101,8.2664,2.4177,0.0186,16376000000.0,0.1851,0.0974,7.351,2.1956,87.9222,-2463000000.0,140.612,28.7866,34.6723,17.541,48.5484,11.2877,1.4642,123.0074,-0.1338,0.35,0.0,5311000000.0,17.4745,-2.2933,0.0565,9696500000.0,0.5276,3.0717,0.102,2549000000.0,5.6009,0.2112,0.47,1.4109,16.9541,0.0023,22.5246,-38805000000.0,15579000000.0,8.9988,2.169,0.0,3.0717,-0.1211,1.2293,51.8282,0.0,91500000.0,203.6904,19.504,0.4286,60908500000.0,15.2477,0.0444,69.5515,-0.9778,2021,HD
3,22.6463,15.3627,0.044,6.9738,2.5281,0.0243,11009000000.0,0.1791,0.102,1.9515,2.2619,0.0,-2678000000.0,-4.5022,0.0,28.8042,12.5224,39.121,-10.1037,1.2175,100.8463,-0.1385,0.3774,0.0,1435000000.0,17.589,-2.4501,0.0442,7771000000.0,0.6145,-2.8509,0.1008,2021000000.0,5.1063,0.2361,0.2307,1.6181,20.3597,0.0023,22.1672,-34542000000.0,14228000000.0,9.3492,2.3147,0.0,-2.8509,-0.2978,1.0781,54.5398,0.0,-2497000000.0,86.1483,25.3123,0.4644,47619500000.0,10.0723,0.0451,73.002,-1.1664,2020,HD
4,19.4604,13.3524,0.0512,6.5307,2.182,0.0226,10723000000.0,0.1803,0.1028,1.5638,1.9285,0.0,-2442000000.0,-52.4575,0.0,25.6834,11.5787,39.8431,-15.5495,1.1838,95.1653,-0.1311,0.38,0.0,1813000000.0,15.2027,-2.1478,0.0514,7499500000.0,0.6636,-1.6517,0.0962,1944000000.0,5.327,0.2512,0.2222,1.551,17.9337,0.0026,18.7658,-27352000000.0,13336500000.0,9.473,2.4444,0.0,-1.6517,-0.3165,1.1085,55.66,0.0,-212000000.0,66.6902,22.0179,0.4598,44266000000.0,9.431,0.0533,71.5429,-1.1348,2019,HD
5,23.2453,15.5344,0.0511,7.061,2.5776,0.0183,10181000000.0,0.177,0.0855,3.0518,2.3454,162.7649,-1850000000.0,2.9825,14.2579,22.944,10.2131,39.7316,18.5887,1.3941,85.657,-0.102,0.3687,0.0,2739000000.0,17.7163,-1.5705,0.043,7122000000.0,0.607,1.2343,0.0934,1990500000.0,5.2613,0.1973,0.3425,1.3996,21.6186,0.0027,27.4454,-24142000000.0,12648500000.0,9.344,2.3065,0.0,1.2343,-0.3131,1.1691,50.6928,0.0,2893500000.0,103.3451,25.5469,0.3478,43747500000.0,8.6426,0.0364,69.9198,-0.8972,2018,HD
6,20.6202,12.3473,0.0487,7.829,2.0101,0.0167,8200000000.0,0.1811,0.0841,2.0651,1.7875,39.0228,-1583000000.0,1.4944,22.6899,19.2034,7.9601,41.0231,5.4468,1.2295,76.9691,-0.1237,0.3304,0.0,3591000000.0,14.1617,-1.288,0.0485,6782500000.0,0.5493,3.5256,0.09,1959500000.0,5.1139,0.1874,0.3231,1.3677,19.4367,0.0028,21.1988,-20909000000.0,12179000000.0,9.1827,2.2274,0.0,3.5256,-0.3981,1.2541,48.2751,75.4847,5324500000.0,90.7113,23.1889,0.312,42469500000.0,6.6721,0.0472,73.5427,-0.8023,2017,HD
7,20.4162,13.24,0.0501,7.7932,2.0397,0.0165,7913000000.0,0.1898,0.0792,1.7353,1.8251,25.5784,-1460000000.0,0.8964,24.7174,16.6139,7.3399,41.1341,3.3591,1.3373,69.3179,-0.1187,0.2907,0.0,3960000000.0,15.3349,-1.1433,0.049,6186000000.0,0.5055,4.946,0.084,1687000000.0,5.0904,0.1711,0.3279,1.3933,19.2631,0.0028,23.0437,-19173000000.0,11444000000.0,9.4171,2.1611,0.0,4.946,-0.4309,1.3162,52.4713,38.3373,7819000000.0,80.4949,22.8173,0.268,40959500000.0,6.1966,0.0434,73.9912,-0.7837,2016,HD
8,20.4041,12.6643,0.0339,6.5122,1.8659,0.0168,6848000000.0,0.1957,0.0763,1.2877,1.6799,14.989,-1394000000.0,0.5809,27.2876,12.8528,6.1599,38.6872,1.8448,1.299,62.1644,-0.1097,0.2639,0.0,4033000000.0,14.8248,-1.0419,0.049,5802000000.0,0.4305,6.9671,0.0786,1441000000.0,4.95,0.1577,0.2846,1.2627,18.8305,0.0027,21.9853,-15322000000.0,11068000000.0,9.4428,2.0674,0.0,6.9671,-0.5126,1.3579,57.721,17.5339,10922000000.0,70.0388,22.6637,0.2372,40232000000.0,5.1181,0.0455,73.8101,-0.7805,2015,HD
9,17.3086,11.1971,0.0318,6.4745,1.5519,0.0165,6327000000.0,0.2046,0.0683,1.3537,1.3895,8.7455,-1301000000.0,0.3555,27.338,10.3326,5.353,40.7712,1.1759,1.4165,55.3067,-0.1161,0.2263,0.0,4530000000.0,13.3435,-0.913,0.0578,5586500000.0,0.3634,8.7874,0.0753,1396500000.0,4.7684,0.132,0.3095,1.1714,16.0339,0.0029,20.3307,-12717000000.0,10883500000.0,9.2897,1.9316,0.0,8.7874,-0.5388,1.4214,56.4354,9.7491,15149500000.0,66.4913,19.3308,0.1932,40801000000.0,4.44,0.0492,77.7657,-0.7405,2014,HD
0,27.1051,9.7168,0.0168,118.7183,1.2461,0.0536,7139818000.0,0.0966,0.066,50.0217,0.7039,0.8937,-14727742000.0,0.0792,217.7401,159.18,16.0104,59.0119,1.004,1.2055,201.299,-0.7104,0.0345,0.0,18500500000.0,16.9906,-10.7829,0.0369,37549155000.0,0.3954,158.5512,0.1615,91385145000.0,6.9685,0.0315,0.8897,4.2283,15.6679,0.0,10.6614,-137485900000.0,32750805000.0,6.078,0.4772,0.0,158.5512,-0.1426,1.1043,3.0086,0.9335,229116550000.0,21.7359,47.9869,0.162,576136850000.0001,5.2274,0.0938,50.3643,-0.9757,2023,TM
1,19.1039,9.5486,0.0176,121.9953,1.466,0.0717,13103044000.0,0.0948,0.0908,55.2489,0.8963,1.0358,-20028226000.0,0.1079,267.9053,169.8075,23.8572,61.6587,0.9758,1.3061,201.1022,-0.5977,0.0416,0.0331,16733200000.0,15.3558,-14.4219,0.0523,38115725000.0,0.3914,174.0274,0.1478,92860700000.0,7.395,0.0427,0.8749,3.7105,12.3572,0.0,9.8336,-149623800000.0,30578765000.0,5.9327,0.4703,0.0,174.0274,-0.1382,1.0861,3.0075,1.0833,234994100000.0,25.3206,31.2455,0.2006,593870600000.0001,9.4352,0.1017,54.8963,-1.2352,2022,TM
2,62.4669,10.2933,0.0178,131.8042,1.4532,0.0866,3491708000.0,0.0968,0.0825,62.6578,0.8526,0.9554,-22143612000.0,0.1007,235.9729,172.5766,18.3418,65.9795,1.0565,1.2146,183.0346,-0.6551,0.0338,0.0385,12373500000.0,17.9944,-15.8435,0.016,30213145000.0,0.4121,163.3537,0.1441,88848750000.0,8.4924,0.0395,0.892,4.2538,14.5012,0.0,10.301,-142898900000.0,24774355000.0,6.9636,0.4782,0.0,163.3537,-0.1465,1.0613,2.8792,1.001,209548500000.0,27.1692,106.4647,0.1764,534985550000.0001,2.4983,0.0971,47.0968,-1.4327,2021,TM
3,12.7109,8.1768,0.019,113.0966,1.106,0.072,13206390000.0,0.0991,0.0694,37.455,0.6096,0.8799,-19827520000.0,0.1029,203.5696,135.1146,23.6048,36.2312,0.9911,1.7294,196.7588,-0.7289,0.0429,0.0372,6809400000.0,13.5503,-14.168,0.0787,23104160000.0,0.3901,136.3289,0.1514,85809000000.0,9.7435,0.0401,0.8363,3.6696,9.2189,0.0,8.8786,-122362000000.0,23154405000.0,9.7647,0.5784,0.0,136.3289,-0.1492,1.0413,3.2089,0.8799,185695450000.0,26.0006,23.0597,0.1831,476046250000.0001,9.4368,0.1126,36.2422,-1.3425,2020,TM
4,12.9375,7.8514,0.0,115.791,1.1066,0.0757,13303990000.0,0.0985,0.0623,36.5337,0.6327,0.953,-20595380000.0,0.0953,182.2835,126.3099,23.6106,38.9715,1.0041,2.0005,189.4674,-0.6793,0.0448,0.0348,5870700000.0,13.5545,-14.3445,0.0773,23546885000.0,0.388,125.7894,0.1677,83906405000.0,9.5385,0.0368,0.8458,3.362,8.8797,0.0,10.2112,-116915200000.0,23382830000.0,9.472,0.5912,0.0,125.7894,-0.1503,1.0358,3.2421,0.953,177737550000.0,20.5268,22.6261,0.1661,460103400000.0001,9.2661,0.0979,39.1249,-1.2767,2019,TM
5,10.9418,8.3103,0.0,112.5233,1.1693,0.0788,17049540000.0,0.1052,0.0849,34.9444,0.7055,1.0668,-20840540000.0,0.1305,201.1196,118.1585,25.7112,39.5213,0.9958,1.6881,179.4251,-0.6139,0.0454,0.0378,3201900000.0,14.3149,-14.1418,0.0914,23573630000.0,0.3846,118.6626,0.1689,81442390000.0,9.5403,0.0495,0.8304,3.2961,8.16,0.0,8.3558,-114529500000.0,22536120000.0,9.1205,0.5836,0.0,118.6626,-0.1361,1.02,3.2467,1.0668,171986750000.0,14.8299,18.1345,0.2348,453075500000.0001,11.5693,0.1197,38.8052,-1.3354,2018,TM
6,15.2446,8.5493,0.0,115.7201,1.1169,0.082,10716540000.0,0.1039,0.0664,36.4775,0.6365,0.9661,-21035860000.0,0.108,168.2485,118.4462,21.1114,41.2033,1.0261,1.8646,170.6425,-0.6972,0.039,0.0362,4787000000.0,15.455,-13.9862,0.0656,21850160000.0,0.3929,115.4363,0.158,75396550000.0,10.753,0.0402,0.8458,3.6769,9.0278,0.0,9.7069,-113902100000.0,19662340000.0,9.6763,0.606,0.0,115.4363,-0.1551,1.0297,3.4041,0.9661,157626200000.0,13.7649,26.7487,0.1709,423512900000.0002,7.1252,0.103,38.3493,-1.4041,2017,TM
7,12.8446,7.3196,0.0,107.4863,1.1545,0.1023,12910770000.0,0.1036,0.0814,29.176,0.7034,1.1347,-24114340000.0,0.1252,160.705,97.3439,23.7377,38.5824,1.0113,1.9289,151.1423,-0.5571,0.0577,0.0399,17306300000.0,11.4894,-15.4603,0.0779,20884660000.0,0.3857,96.2531,0.1669,74748085000.0,10.2632,0.0464,0.8588,2.8596,7.3507,0.0,8.6792,-92377800000.0,18281430000.0,8.9839,0.5694,0.0,96.2531,-0.1261,1.1293,3.1539,1.1347,153370250000.0,13.9533,21.08,0.1956,413995250000.0,8.2774,0.1152,33.2863,-1.787,2016,TM
8,20.6961,9.1454,0.0,117.9282,1.3968,0.0923,10675710000.0,0.097,0.0798,30.0523,0.8915,1.3758,-22864640000.0,0.1265,166.7895,109.3427,21.2358,40.2837,1.0754,1.6959,156.914,-0.5003,0.0547,0.0,13694600000.0,13.8305,-14.4766,0.0483,22034265000.0,0.3976,101.6766,0.1516,80118235000.0,10.3522,0.0466,0.8529,3.3084,10.3213,0.0,11.5041,-110529600000.0,19199680000.0,9.0205,0.584,0.0,101.6766,-0.1341,1.0916,3.0934,1.3758,156390300000.0,17.036,32.4268,0.2012,424358050000.0,6.7592,0.0869,35.7221,-1.7832,2015,TM
9,10.2229,8.4557,0.0,113.8867,1.1661,0.0738,17508740000.0,0.1011,0.071,26.9225,0.6967,1.1761,-18951610000.0,0.1266,157.535,102.9871,22.9978,38.8356,1.0728,1.9999,162.0549,-0.5867,0.0525,0.0,10370300000.0,13.0701,-11.954,0.0978,22303590000.0,0.394,95.9957,0.1637,80071240000.0,11.1864,0.0461,0.8368,3.4037,8.2166,0.0,9.8259,-105007800000.0001,18595020000.0,9.3264,0.6491,0.0,95.9957,-0.1116,1.0706,3.2086,1.1761,143999450000.0,19.4761,17.1104,0.2101,395827850000.0,11.0439,0.1018,33.2466,-1.5151,2014,TM
0,0.0,13.9795,0.1797,26.9348,1.6585,0.0388,24178000000.0,0.1677,0.0835,31.1428,2.1185,1.6534,-4908000000.0,0.0637,75.6903,8.959,11.0909,11.621,0.145,2.7549,48.233,0.0315,0.0903,0.0653,45521000000.0,13.9795,-1.8715,-0.0008,2306707014.5041,0.092,61.8017,0.2666,10282842570.2224,17.9906,0.0404,1.6219,-2.6637,7.2128,0.0355,24.801,8444000000.0,4449100715.0353,34.6997,0.484,0.0,61.8017,0.0129,1.8113,12.3012,2.3059,165632000000.0,57.2946,-999.0002,0.1484,261365000000.0,9.2194,0.0403,18.9433,-0.7182,2023,BABA
