,Capital Stock Change,Beginning Cash,Assets Liabilities Change (Total),Financing cash flow,Capital expenditures,Other financial activities,Stock Based Compensation,Change in Cash,Net Aquisitions,Change in inventories,Repayment/Issuance of Debt (Net),Ending Cash,Accounts Receivable Change,Exchange Rate Adjustment,Operating Cash Flow,Non Cash Items (Other),Net Cash/Marketcap,Net Income,Dividends Paid (Common),Accounts Payable Change,Change in other assets and liabilities,Investing cash flow,"Equity Repurchase (Common, Net)",Long-Term Investments Change (Net),Issuance/Purchase of Shares,Change in payables and accrued liability,Depreciation & Amortization,Investments Change (Net),Other investing activities,Other operating activities,year,ticker,Short Term Investments Change (Net),Change in intangibles (net),Dividends Paid (Total),Income tax paid,Dividends Paid (Preffered),"Equity Repurchase (Preffered, Net)",Discontinued Operations and Adjustments
12,-702000000.0,0.0,0.0,-839000000.0,0.0,-16000000.0,0.0,-26000000.0,0.0,1380000000.0,428000000.0,0.0,-124000000.0,0.0,1202000000.0,0.0,0.0605,1315000000.0,0.0,0.0,10000000.0,-323000000.0,0.0,,0.0,695000000.0,272000000.0,0.0,-5000000.0,0.0,2015,VFC,0.0,0.0,-565000000.0,0.0,,,
0,-666900000.0,300700000.0,-261800000.0,-279100000.0,-306500000.0,65800000.0,,-231300000.0,0.0,-101900000.0,458300200.0,69400000.0,-14800000.0,-15400000.0,378800000.0,-1300000.0,0.4641,457800000.0,-70500000.0,-59500000.0,-19800000.0,-315300000.0,-666900000.0,,-666900000.0,-67300000.0,184100000.0,,-8800000.0,,2022,TPX,,,-70500000.0,1500000.0,,,-300000.0
1,-801400000.0,65000000.0,-90600000.0,76500000.0,-123300000.0,-24900000.0,,235700000.0,-432800000.0,-106400000.0,965900100.0,300700000.0,-40400000.0,-8200000.0,723100000.0,11300000.0,0.2192,625000000.0,-63100000.0,50500000.0,134300000.0,-554800000.0,-801400000.0,,-801400000.0,-113800000.0,177400000.0,,1300000.0,,2021,TPX,,,-63100000.0,-14800000.0,,,-900000.0
2,-324900000.0,64900000.0,69000000.0,-522600000.0,-111300000.0,-1300000.0,,100000.0,-41200000.0,-42500000.0,-196400000.0,65000000.0,-55700000.0,14300000.0,654700000.0,30200000.0,0.2319,349800000.0,0.0,63000000.0,2500000.0,-146600000.0,-324900000.0,,-324900000.0,90500000.0,205700000.0,,5900000.0,,2020,TPX,,,0.0,11200000.0,,,300000.0
3,-87900000.0,45800000.0,-19300000.0,-203200000.0,-88200000.0,-3200000.0,,19100000.0,-17100000.0,-28200000.0,-112100000.0,64900000.0,-76000000.0,-300000.0,314800000.0,25800000.0,0.3108,189400000.0,0.0,-4800000.0,19900000.0,-90200000.0,-87900000.0,,-87900000.0,67300000.0,118900000.0,,15100000.0,,2019,TPX,,,0.0,2500000.0,,,-2000000.0
4,0.0,41900000.0,-57800000.0,-107000000.0,-73600000.0,50700000.0,,3900000.0,0.0,-44600000.0,-107000000.0,45800000.0,-46300000.0,-3100000.0,207500000.0,53500000.0,0.7106,97600000.0,0.0,28700000.0,-14400000.0,-71200000.0,0.0,,0.0,43200000.0,114200000.0,,2400000.0,,2018,TPX,,,0.0,-24400000.0,,,-22300000.0
5,-32100000.0,65700000.0,45000000.0,-175200000.0,-66600000.0,-500000.0,,-23800000.0,0.0,16300000.0,-142600000.0,41900000.0,21000000.0,-9400000.0,256500000.0,-25400000.0,0.4908,140700000.0,0.0,3800000.0,-15200000.0,-65700000.0,-32100000.0,,-32100000.0,-4900000.0,96200000.0,,900000.0,,2017,TPX,,,0.0,24000000.0,,,-30000000.0
6,-519300000.0,153900000.0,-143800000.0,-185100000.0,-61900000.0,-31400000.0,,-88200000.0,0.0,700000.0,365600100.0,65700000.0,21500000.0,-6200000.0,168100000.0,34800000.0,0.4503,185000000.0,0.0,-48300000.0,-124100000.0,-61900000.0,-519300000.0,,-519300000.0,3100000.0,92100000.0,,-24700000.0,,2016,TPX,,,0.0,3300000.0,,,-3100000.0
7,24100000.0,62500000.0,58200000.0,-90700000.0,-65900000.0,10000000.0,,91400000.0,7200000.0,10700000.0,-124800000.0,153900000.0,-38400000.0,7600000.0,234200000.0,-3900000.0,0.2992,65700000.0,0.0,52800000.0,-58700000.0,-59700000.0,24100000.0,,24100000.0,95700000.0,114200000.0,,-1000000.0,,2015,TPX,,,0.0,-3900000.0,,,0.0
8,2100000.0,81000000.0,7600000.0,-238100000.0,-47500000.0,-800000.0,,-18500000.0,35000000.0,-34000000.0,-239400000.0,62500000.0,-58800000.0,4800000.0,225200000.0,5400000.0,0.4499,110000000.0,0.0,47800000.0,-14900000.0,-10400000.0,2100000.0,,2100000.0,56700000.0,102200000.0,,2100000.0,,2014,TPX,,,0.0,10800000.0,,,0.0
9,1700000.0,179300000.0,-38900000.0,1013400000.0,-40000000.0,-47600000.0,,-98300000.0,-1172900000.0,-34500000.0,1059300000.0,81000000.0,-30100000.0,2800000.0,98500000.0,-40400000.0,0.5395,78900000.0,0.0,28100000.0,27900000.0,-1213000000.0,1700000.0,,1700000.0,4400000.0,98900000.0,,-100000.0,,2013,TPX,,,0.0,-34700000.0,,,0.0
0,27750000.0,731362000.0,-283143000.0,-260639000.0,-148355000.0,-38389000.0,69072000.0,29873000.0,0.0,-138606000.0,-250000000.0,761235000.0,197902000.0,-8105000.0,442842000.0,149893000.0,0.259,393913000.0,0.0,,-21997000.0,-144225000.0,27750000.0,,27750000.0,-320442000.0,182179000.0,-520000.0,4650000.0,,2022,MAT,-520000.0,,0.0,,,,
1,12131000.0,762181000.0,-245005000.0,-402074000.0,-107704000.0,-22152000.0,60081000.0,-30819000.0,0.0,-290018000.0,-392053000.0,731362000.0,-85603000.0,-9111000.0,485463000.0,-356832000.0,0.2536,902987000.0,0.0,,-76527000.0,-105097000.0,12131000.0,,12131000.0,207143000.0,184313000.0,1585000.0,1022000.0,,2021,MAT,1585000.0,,0.0,,,,
2,64000.0,630028000.0,-85627000.0,-5842000.0,-112978000.0,-6875000.0,60168000.0,132153000.0,0.0,1813000.0,969000.0,762181000.0,-92280000.0,-15597000.0,285696000.0,54293000.0,0.3453,123579000.0,0.0,,-12563000.0,-132104000.0,64000.0,,64000.0,17403000.0,193451000.0,-22883000.0,3757000.0,,2020,MAT,-22883000.0,,0.0,,,,
3,0.0,594481000.0,55558000.0,-33138000.0,-100509000.0,-9308000.0,55968000.0,35547000.0,0.0,52453000.0,-23830000.0,630028000.0,41029000.0,1884000.0,168436000.0,87110000.0,0.4884,-218750000.0,0.0,,16728000.0,-101635000.0,0.0,,0.0,-54652000.0,244518000.0,-681000.0,-445000.0,,2019,MAT,-681000.0,,0.0,,,,
4,0.0,1079221000.0,92190000.0,-285157000.0,-152414000.0,-11130000.0,48915000.0,-484740000.0,0.0,21134000.0,-274027000.0,594481000.0,72415000.0,-11508000.0,-27317000.0,141860000.0,0.6561,-533299000.0,0.0,,46038000.0,-160758000.0,0.0,,0.0,-47397000.0,271932000.0,-18615000.0,10271000.0,,2018,MAT,-18615000.0,,0.0,,,,
5,1775000.0,869531000.0,110927000.0,458450000.0,-297159000.0,-27806000.0,67119000.0,209690000.0,0.0,35948000.0,796453900.0,1079221000.0,-3484000.0,14517000.0,-27614000.0,641271000.0,0.3714,-1054579000.0,-311973000.0,,-15381000.0,-235663000.0,1775000.0,,1775000.0,93844000.0,274767000.0,60993000.0,503000.0,,2017,MAT,60993000.0,,-311973000.0,,,,
6,34065000.0,892814000.0,-42504000.0,-281471000.0,-262193000.0,-22261000.0,53950000.0,-23283000.0,-33154000.0,-37195000.0,225254000.0,869531000.0,-29698000.0,-24411000.0,594509000.0,61765000.0,0.1498,312908000.0,-518529000.0,,11183000.0,-311910000.0,34065000.0,,34065000.0,13206000.0,262340000.0,-6103000.0,-10460000.0,,2016,MAT,-6103000.0,,-518529000.0,,,,
7,14995000.0,971650000.0,38890000.0,-500222000.0,-254181000.0,-17058000.0,56691000.0,-78836000.0,0.0,-74262000.0,16914000.0,892814000.0,-136259000.0,-30676000.0,734557000.0,60824000.0,0.1312,369416000.0,-515073000.0,,1364000.0,-282495000.0,14995000.0,,14995000.0,248047000.0,265427000.0,-61509000.0,33195000.0,,2015,MAT,-61509000.0,,-515073000.0,,,,
8,-133863000.0,1039216000.0,80854000.0,-227319000.0,-260457000.0,-25237000.0,51993000.0,-67566000.0,-423309000.0,43392000.0,446594000.0,971650000.0,90285000.0,-20259000.0,888564000.0,60135000.0,0.1125,498874000.0,-514813000.0,,-18170000.0,-708552000.0,-133863000.0,,-133863000.0,-34653000.0,248701000.0,-19933000.0,-4853000.0,,2014,MAT,-19933000.0,,-514813000.0,,,,
9,-358234000.0,1335711000.0,-497194000.0,-739962000.0,-252054000.0,22949000.0,61651000.0,-296495000.0,0.0,-116509000.0,89694000.0,1039216000.0,-48802000.0,-12853000.0,698426000.0,95283000.0,0.0346,903944000.0,-494371000.0,,-130015000.0,-242106000.0,-358234000.0,,-358234000.0,-201868000.0,196393000.0,12849000.0,-2901000.0,,2013,MAT,12849000.0,,-494371000.0,,,,
0,-226128000.0,335645000.0,43980000.0,-409775000.0,-230981000.0,-9510000.0,36663000.0,-161784000.0,-33069000.0,-6099000.0,-50000000.0,173861000.0,11062000.0,,511725000.0,52911000.0,-0.0157,277597000.0,-124137000.0,5408000.0,33792000.0,-263734000.0,-226128000.0,316000.0,-226128000.0,-6136000.0,137237000.0,316000.0,5403000.0,,2022,TXRH,,,-124137000.0,5953000.0,,,
1,-68660000.0,363155000.0,36161000.0,-301232000.0,-195104000.0,-8914000.0,38139000.0,-27510000.0,0.0,-9231000.0,-140000000.0,335645000.0,-62399000.0,,468826000.0,52590000.0,-0.0343,253314000.0,-83658000.0,27730000.0,47324000.0,-195104000.0,-68660000.0,0.0,-68660000.0,41710000.0,126761000.0,0.0,-2016000.0,,2021,TXRH,,,-83658000.0,-8973000.0,,,
2,-25128000.0,107879000.0,61875000.0,185943000.0,-150525000.0,-3940000.0,29431000.0,255276000.0,-10580000.0,-2017000.0,240000000.0,363155000.0,1058000.0,,230438000.0,15761000.0,0.0827,34925000.0,-24989000.0,490000.0,51290000.0,-161105000.0,-25128000.0,0.0,-25128000.0,10682000.0,117877000.0,0.0,-2088000.0,,2020,TXRH,,,-24989000.0,372000.0,,,
3,-152258000.0,210125000.0,29362000.0,-261724000.0,-213284000.0,-7100000.0,35500000.0,-102246000.0,-1536000.0,-1414000.0,0.0,107879000.0,-5774000.0,,374298000.0,47874000.0,0.1128,181518000.0,-102366000.0,407000.0,23020000.0,-214820000.0,-152258000.0,0.0,-152258000.0,7569000.0,115544000.0,0.0,-6295000.0,,2019,TXRH,,,-102366000.0,5554000.0,,,
4,-13649000.0,150918000.0,34649000.0,-135516000.0,-155980000.0,-3317000.0,33983000.0,59207000.0,-2165000.0,-2495000.0,-50000000.0,210125000.0,-15597000.0,,352868000.0,52709000.0,-0.0488,164294000.0,-68550000.0,8882000.0,37756000.0,-158145000.0,-13649000.0,0.0,-13649000.0,14684000.0,101216000.0,0.0,-5328000.0,,2018,TXRH,,,-68550000.0,-8581000.0,,,
5,-9341000.0,112944000.0,27966000.0,-70243000.0,-161628000.0,-2190000.0,26934000.0,37974000.0,-16528000.0,-48000.0,-558000.0,150918000.0,-20379000.0,,286373000.0,27372000.0,-0.0259,137536000.0,-58154000.0,1601000.0,32258000.0,-178156000.0,-9341000.0,0.0,-9341000.0,11086000.0,93499000.0,0.0,-4431000.0,,2017,TXRH,,,-58154000.0,3448000.0,,,
6,-10330000.0,59334000.0,15386000.0,-38717000.0,-164738000.0,-1188000.0,26067000.0,53610000.0,0.0,-455000.0,24855000.0,112944000.0,-10733000.0,,257065000.0,38142000.0,-0.0179,120573000.0,-52054000.0,138000.0,30085000.0,-164738000.0,-10330000.0,0.0,-10330000.0,-5949000.0,82964000.0,0.0,-769000.0,,2016,TXRH,,,-52054000.0,2300000.0,,,
7,-13851000.0,86122000.0,33004000.0,-81526000.0,-173203000.0,629000.0,22825000.0,-26788000.0,0.0,-1377000.0,-22128000.0,59334000.0,-11395000.0,,227941000.0,23982000.0,-0.0134,101261000.0,-46176000.0,7611000.0,26135000.0,-173203000.0,-13851000.0,0.0,-13851000.0,9036000.0,69694000.0,0.0,0.0,,2015,TXRH,,,-46176000.0,2994000.0,,,
8,-43224000.0,94874000.0,25481000.0,-76225000.0,-124240000.0,-207000.0,14883000.0,-8752000.0,0.0,-2278000.0,-1461000.0,86122000.0,-8634000.0,,191713000.0,16076000.0,-0.015,90977000.0,-31333000.0,5366000.0,19455000.0,-124240000.0,-43224000.0,0.0,-43224000.0,6444000.0,59179000.0,0.0,0.0,,2014,TXRH,,,-31333000.0,5128000.0,,,
9,-3985000.0,81746000.0,27192000.0,-49460000.0,-111455000.0,1771000.0,14740000.0,13128000.0,1387000.0,-1057000.0,-369000.0,94874000.0,-9063000.0,,173836000.0,10995000.0,-0.0224,84087000.0,-46877000.0,5712000.0,9726000.0,-111248000.0,-3985000.0,-1180000.0,-3985000.0,13943000.0,51562000.0,-1180000.0,0.0,,2013,TXRH,,,-46877000.0,7931000.0,,,
0,-652200000.0,178500000.0,-2209200000.0,2035900000.0,-286500000.0,-23400000.0,41100000.0,93000000.0,-1043300000.0,-923000000.0,2756699000.0,271500000.0,-131600000.0,-3000000.0,-610100000.0,109400000.0,0.9316,1261600000.0,-45200000.0,25300000.0,-1177600000.0,-1329800000.0,-652200000.0,,-652200000.0,-2300000.0,228100000.0,,-12000000.0,,2022,LAD,,,-45200000.0,,,,
1,905499900.0,162500000.0,414300000.0,1106700000.0,-257100000.0,-16100000.0,34700000.0,16000000.0,-2633300000.0,674600000.0,256099900.0,178500000.0,-147100000.0,2500000.0,1797200000.0,153900000.0,0.3782,1062700000.0,-38800000.0,78400000.0,-424600000.0,-2890400000.0,905499900.0,,905499900.0,233000000.0,166300000.0,,-1000000.0,,2021,LAD,,,-38800000.0,,,,
2,739800000.0,84000000.0,-33600000.0,1139800000.0,-161300000.0,-11100000.0,23200000.0,78600000.0,-1457000000.0,228800000.0,440199800.0,162500000.0,-113500000.0,0.0,544600000.0,-13400000.0,0.2826,470300000.0,-29100000.0,28200000.0,-290200000.0,-1605800000.0,739800000.0,,739800000.0,113100000.0,121300000.0,,12500000.0,,2020,LAD,,,-29100000.0,,,,
3,7800000.0,31600000.0,89900000.0,-9100000.0,-123400000.0,-3400000.0,16200000.0,52400000.0,-327100000.0,-19700000.0,14099900.0,84000000.0,24400000.0,0.0,524500000.0,49100000.0,0.4064,271500000.0,-27600000.0,-1800000.0,94800000.0,-463000000.0,7800000.0,,7800000.0,-7800000.0,114000000.0,,-12500000.0,,2019,LAD,,,-27600000.0,,,,
4,-138800000.0,57300000.0,145900000.0,11700000.0,-154900000.0,-1200000.0,13300000.0,-25700000.0,-402200000.0,-108900000.0,179400100.0,31600000.0,4700000.0,0.0,519700000.0,32700000.0,0.7262,265700000.0,-27700000.0,15100000.0,206100000.0,-557100000.0,-138800000.0,,-138800000.0,28900000.0,75400000.0,,-1000000.0,,2018,LAD,,,-27700000.0,,,,
5,-26300000.0,50300000.0,-157000000.0,396300000.0,-90100000.0,-38100000.0,11300000.0,7000000.0,-448100000.0,-193100000.0,487200000.0,57300000.0,-57400000.0,0.0,148900000.0,3000000.0,0.3429,245200000.0,-26500000.0,20000000.0,36300000.0,-538200000.0,-26300000.0,,-26300000.0,37200000.0,57700000.0,,-33000000.0,,2017,LAD,,,-26500000.0,,,,
6,-106000000.0,45000000.0,-185200000.0,266100000.0,-98600000.0,19594000.0,11000000.0,5300000.0,-253100000.0,-168800000.0,396200100.0,50300000.0,-106000000.0,0.0,90900000.0,29700000.0,0.2973,197100000.0,-24100000.0,16400000.0,30300000.0,-351700000.0,-106000000.0,,-106000000.0,42900000.0,49300000.0,,4389000.0,,2016,LAD,,,-24100000.0,,,,
7,-25483000.0,29898000.0,-183668000.0,105292000.0,-82974000.0,0.0,11871000.0,15110000.0,-86759000.0,-197079000.0,150760000.0,45008000.0,-13047000.0,0.0,79551000.0,38620000.0,0.2133,182999000.0,-19985000.0,674000.0,9511000.0,-169733000.0,-25483000.0,,-25483000.0,16273000.0,41600000.0,,0.0,,2015,LAD,,,-19985000.0,,,,
8,-18378000.0,23686000.0,-145100000.0,711577000.0,-81087000.0,6186000.0,7436000.0,6212000.0,-658127000.0,-76002000.0,739698000.0,29898000.0,-59474000.0,0.0,30967000.0,10984000.0,0.2699,138720000.0,-15929000.0,-3105000.0,6952000.0,-736332000.0,-18378000.0,,-18378000.0,-13471000.0,26363000.0,,2882000.0,,2014,LAD,,,-15929000.0,,,,
9,-2930000.0,42839000.0,-106685000.0,79110000.0,-45393000.0,5994000.0,6565000.0,-19153000.0,-85020000.0,-106896000.0,86131000.0,23686000.0,-37370000.0,0.0,32059000.0,12709000.0,0.1278,106000000.0,-10085000.0,8480000.0,16797000.0,-130322000.0,-2930000.0,,-2930000.0,12304000.0,20035000.0,,91000.0,,2013,LAD,,,-10085000.0,,,,
0,-46000000.0,172000000.0,-218000000.0,-666000000.0,-549000000.0,2000000.0,,-17000000.0,0.0,-268000000.0,-530000000.0,155000000.0,-184000000.0,-6000000.0,1090000000.0,209000000.0,0.7605,522000000.0,-92000000.0,132000000.0,115000000.0,-435000000.0,-46000000.0,,-46000000.0,-11000000.0,562000000.0,,114000000.0,15000000.0,2022,GPK,,,-92000000.0,-2000000.0,,,
1,-15000000.0,179000000.0,-229000000.0,1778000000.0,-802000000.0,-274000000.0,,-7000000.0,-1704000000.0,-80000000.0,2159000000.0,172000000.0,-106000000.0,-2000000.0,609000000.0,31000000.0,0.9704,216000000.0,-92000000.0,77000000.0,-117000000.0,-2392000000.0,-15000000.0,,-15000000.0,3000000.0,498000000.0,,114000000.0,93000000.0,2021,GPK,,,-92000000.0,-6000000.0,,,
2,-325000000.0,153000000.0,-19000000.0,-152000000.0,-646000000.0,-504000000.0,,26000000.0,-121000000.0,35000000.0,780000000.0,179000000.0,-216000000.0,1000000.0,825000000.0,146000000.0,0.7337,203000000.0,-103000000.0,71000000.0,53000000.0,-648000000.0,-325000000.0,,-325000000.0,31000000.0,482000000.0,,119000000.0,13000000.0,2020,GPK,,,-103000000.0,7000000.0,,,
3,-133000000.0,71000000.0,-174000000.0,-361000000.0,-353000000.0,-11000000.0,,82000000.0,-55000000.0,-73000000.0,-104000000.0,153000000.0,-108000000.0,2000000.0,666000000.0,95000000.0,0.5529,278000000.0,-113000000.0,-9000000.0,15000000.0,-225000000.0,-133000000.0,,-133000000.0,5000000.0,452000000.0,,183000000.0,15000000.0,2019,GPK,,,-113000000.0,-4000000.0,,,
4,-123400000.0,67400000.0,-1120800000.0,-310700000.0,-345800000.0,-13300000.0,,3100000.0,-89400000.0,-82000000.0,-63000000.0,70500000.0,-1158100000.0,-1500000.0,-373800000.0,-17300000.0,0.8766,294000000.0,-111000000.0,76200000.0,30700000.0,689100000.0,-123400000.0,,-123400000.0,11800000.0,435000000.0,,1124300000.0,35300000.0,2018,GPK,,,-111000000.0,600000.0,,,
5,-72300000.0,59100000.0,-645300000.0,-69800000.0,-252200000.0,8800000.0,,8300000.0,-189400000.0,-6500000.0,87100000.0,67400000.0,-658800000.0,2500000.0,-192500000.0,-184800000.0,0.4504,300200000.0,-93400000.0,27000000.0,-16000000.0,268100000.0,-72300000.0,,-72300000.0,6700000.0,335400000.0,,709700000.0,2000000.0,2017,GPK,,,-93400000.0,2300000.0,,,
6,-176200000.0,54900000.0,-528900000.0,-3100000.0,-294600000.0,-1700000.0,,4200000.0,-332700000.0,10500000.0,239200000.0,59100000.0,-541900000.0,-1600000.0,74000000.0,45400000.0,0.5079,228000000.0,-64400000.0,4300000.0,-16300000.0,-65100000.0,-176200000.0,,-176200000.0,12800000.0,304100000.0,,562200000.0,25400000.0,2016,GPK,,,-64400000.0,1700000.0,,,
7,-84500000.0,81600000.0,-19000000.0,-210900000.0,-244100000.0,-1300000.0,,-26700000.0,-163200000.0,-19700000.0,-75800000.0,54900000.0,-1500000.0,-5200000.0,589200000.0,72500000.0,0.4307,230100000.0,-49300000.0,12700000.0,-7500000.0,-399800000.0,-84500000.0,,-84500000.0,-3900000.0,284600000.0,,7500000.0,21000000.0,2015,GPK,,,-49300000.0,900000.0,,,
8,-14700000.0,52200000.0,-40200000.0,-308800000.0,-30600000.0,-27500000.0,,29400000.0,-173800000.0,-50400000.0,-266599900.0,81600000.0,-25500000.0,-5200000.0,526600000.0,172000000.0,0.4192,89000000.0,0.0,13300000.0,19700000.0,-183200000.0,-14700000.0,,-14700000.0,-6300000.0,274800000.0,,21200000.0,31000000.0,2014,GPK,,,0.0,9000000.0,,,
9,-211200000.0,51500000.0,-22300000.0,-311100000.0,-135700000.0,-19800000.0,,700000.0,0.0,-39500000.0,-80100000.0,52200000.0,49300000.0,-1800000.0,458000000.0,29700000.0,0.6603,146700000.0,0.0,-13900000.0,-18200000.0,-144400000.0,-211200000.0,,-211200000.0,-1100000.0,284400000.0,,-8700000.0,19500000.0,2013,GPK,,,0.0,1100000.0,,,
0,-682000000.0,1091000000.0,-198000000.0,-704000000.0,-687000000.0,224000000.0,39000000.0,319000000.0,128000000.0,-3000000.0,-22000000.0,1410000000.0,-86000000.0,-57000000.0,1563000000.0,176000000.0,1.291,766000000.0,0.0,,11000000.0,-483000000.0,-682000000.0,76000000.0,-682000000.0,-120000000.0,819000000.0,76000000.0,76000000.0,,2022,BERY,,,,,,,
1,60000000.0,750000000.0,-55000000.0,-741000000.0,-676000000.0,-21000000.0,40000000.0,341000000.0,165000000.0,-639000000.0,-780000000.0,1091000000.0,-331000000.0,13000000.0,1580000000.0,48000000.0,1.0213,733000000.0,0.0,,-30000000.0,-511000000.0,60000000.0,0.0,60000000.0,945000000.0,854000000.0,0.0,0.0,,2021,BERY,,,,,,,
2,30000000.0,750000000.0,109000000.0,-1220000000.0,-583000000.0,-16000000.0,33000000.0,0.0,-14000000.0,48000000.0,-1234000000.0,750000000.0,49000000.0,6000000.0,1530000000.0,17000000.0,1.4807,559000000.0,0.0,,-12000000.0,-316000000.0,30000000.0,281000000.0,30000000.0,24000000.0,845000000.0,281000000.0,281000000.0,,2020,BERY,,,,,,,
3,-19000000.0,381000000.0,228000000.0,5426000000.0,-399000000.0,-125000000.0,27000000.0,369000000.0,-5852000000.0,99000000.0,5570000000.0,750000000.0,150000000.0,-7000000.0,1201000000.0,-44000000.0,2.0587,404000000.0,0.0,,14000000.0,-6251000000.0,-19000000.0,-99000000.0,-19000000.0,-35000000.0,613000000.0,-99000000.0,-137000000.0,,2019,BERY,,,,,,,
4,-10000000.0,306000000.0,-17000000.0,113000000.0,-333000000.0,-40000000.0,23000000.0,75000000.0,-702000000.0,-79000000.0,163000000.0,381000000.0,-53000000.0,-7000000.0,1004000000.0,-13000000.0,0.8626,496000000.0,0.0,,18000000.0,-1035000000.0,-10000000.0,0.0,-10000000.0,97000000.0,538000000.0,0.0,-37000000.0,,2018,BERY,,,,,,,
5,31000000.0,323000000.0,55000000.0,-226000000.0,-263000000.0,-116000000.0,20000000.0,-17000000.0,-515000000.0,10000000.0,-141000000.0,306000000.0,-41000000.0,8000000.0,975000000.0,59000000.0,0.7283,340000000.0,0.0,,27000000.0,-774000000.0,31000000.0,4000000.0,31000000.0,59000000.0,521000000.0,4000000.0,-107000000.0,,2017,BERY,,,,,,,
6,26000000.0,228000000.0,45000000.0,1817000000.0,-283000000.0,-175000000.0,20000000.0,95000000.0,-2283000000.0,9000000.0,1966000000.0,323000000.0,-34000000.0,0.0,857000000.0,51000000.0,1.0255,236000000.0,0.0,,21000000.0,-2579000000.0,26000000.0,0.0,26000000.0,49000000.0,525000000.0,0.0,-13000000.0,,2016,BERY,,,,,,,
7,18000000.0,129000000.0,52000000.0,-365000000.0,-162000000.0,-125000000.0,21000000.0,99000000.0,-3000000.0,74000000.0,-258000000.0,228000000.0,46000000.0,-8000000.0,637000000.0,149000000.0,0.9653,86000000.0,0.0,,-8000000.0,-165000000.0,18000000.0,0.0,18000000.0,-60000000.0,350000000.0,0.0,0.0,,2015,BERY,,,,,,,
8,17000000.0,142000000.0,53000000.0,-119000000.0,-196000000.0,-76000000.0,15000000.0,-13000000.0,-226000000.0,19000000.0,-60000000.0,129000000.0,5000000.0,-2000000.0,530000000.0,57000000.0,1.2787,62000000.0,0.0,,-1000000.0,-422000000.0,17000000.0,0.0,17000000.0,30000000.0,358000000.0,0.0,0.0,,2014,BERY,,,,,,,
0,-1338000000.0,1979000000.0,68000000.0,-1562000000.0,-328000000.0,-29000000.0,38000000.0,-747000000.0,0.0,0.0,-9000000.0,1232000000.0,11000000.0,-1000000.0,1144000000.0,55000000.0,0.3567,800000000.0,-186000000.0,,-26000000.0,-328000000.0,-1338000000.0,0.0,-1338000000.0,44000000.0,221000000.0,0.0,-36000000.0,,2023,BBWI,0.0,,-186000000.0,39000000.0,,,
1,-1940000000.0,3933000000.0,-490000000.0,-3188000000.0,-270000000.0,600000000.0,46000000.0,-1954000000.0,0.0,-177000000.0,-1728000000.0,1979000000.0,-64000000.0,1000000.0,1492000000.0,286000000.0,0.2084,1333000000.0,-120000000.0,,-91000000.0,-259000000.0,-1940000000.0,0.0,-1940000000.0,-86000000.0,363000000.0,0.0,11000000.0,,2022,BBWI,0.0,,-120000000.0,-72000000.0,,,
2,-4000000.0,1499000000.0,377000000.0,610000000.0,-228000000.0,-161000000.0,50000000.0,2434000000.0,0.0,3000000.0,858000000.0,3933000000.0,38000000.0,4000000.0,2039000000.0,297000000.0,0.3544,844000000.0,-83000000.0,,213000000.0,-219000000.0,-4000000.0,0.0,-4000000.0,166000000.0,521000000.0,0.0,9000000.0,,2021,BBWI,0.0,,-83000000.0,-43000000.0,,,
3,-12000000.0,1413000000.0,-104000000.0,-666000000.0,-458000000.0,-1000000.0,87000000.0,86000000.0,0.0,-40000000.0,-321000000.0,1499000000.0,31000000.0,-4000000.0,1236000000.0,398000000.0,0.7823,-366000000.0,-332000000.0,,-20000000.0,-480000000.0,-12000000.0,0.0,-12000000.0,-93000000.0,1308000000.0,0.0,-22000000.0,,2020,BBWI,0.0,,-332000000.0,18000000.0,,,
4,-211000000.0,1515000000.0,-59000000.0,-872000000.0,-629000000.0,-2000000.0,97000000.0,-102000000.0,0.0,-40000000.0,7000000.0,1413000000.0,-63000000.0,2000000.0,1377000000.0,245000000.0,0.7079,644000000.0,-666000000.0,,128000000.0,-609000000.0,-211000000.0,16000000.0,-211000000.0,29000000.0,547000000.0,16000000.0,20000000.0,,2019,BBWI,0.0,,-666000000.0,-113000000.0,,,
5,-440000000.0,1934000000.0,-120000000.0,-1127000000.0,-707000000.0,-8000000.0,102000000.0,-419000000.0,0.0,-137000000.0,7000000.0,1515000000.0,-13000000.0,0.0,1406000000.0,19000000.0,0.3721,983000000.0,-686000000.0,,20000000.0,-698000000.0,-440000000.0,29000000.0,-440000000.0,50000000.0,524000000.0,19000000.0,9000000.0,,2018,BBWI,-10000000.0,,-686000000.0,-40000000.0,,,
6,-473000000.0,2548000000.0,234000000.0,-1765000000.0,-937000000.0,-3000000.0,96000000.0,-614000000.0,-33000000.0,30000000.0,-21000000.0,1934000000.0,-44000000.0,-6000000.0,1990000000.0,126000000.0,0.2722,1158000000.0,-1268000000.0,,100000000.0,-833000000.0,-473000000.0,119000000.0,-473000000.0,31000000.0,472000000.0,129000000.0,8000000.0,,2017,BBWI,10000000.0,,-1268000000.0,117000000.0,,,
