,Capital Stock Change,Beginning Cash,Assets Liabilities Change (Total),Financing cash flow,Capital expenditures,Other financial activities,Stock Based Compensation,Change in Cash,Net Aquisitions,Change in inventories,Repayment/Issuance of Debt (Net),Ending Cash,Accounts Receivable Change,Exchange Rate Adjustment,Operating Cash Flow,Non Cash Items (Other),Net Cash/Marketcap,Net Income,Dividends Paid (Common),Accounts Payable Change,Change in other assets and liabilities,Investing cash flow,"Equity Repurchase (Common, Net)",Long-Term Investments Change (Net),Issuance/Purchase of Shares,Change in payables and accrued liability,Depreciation & Amortization,Investments Change (Net),Other investing activities,Other operating activities,year,ticker,Short Term Investments Change (Net),Change in intangibles (net),Dividends Paid (Total),Income tax paid,Dividends Paid (Preffered),"Equity Repurchase (Preffered, Net)",Discontinued Operations and Adjustments
2,12686000000.0,6783000000.0,184000000.0,9973000000.0,-3157000000.0,-225000000.0,1734000000.0,13118000000.0,-13000000.0,-422000000.0,-2488000000.0,19901000000.0,-652000000.0,334000000.0,5943000000.0,2575000000.0,-0.0111,862000000.0,0.0,,-844000000.0,-3132000000.0,12686000000.0,,12686000000.0,2102000000.0,2322000000.0,0.0,48000000.0,,2020,TSLA,0.0,-10000000.0,,,,,
3,1285000000.0,4277000000.0,-349000000.0,1529000000.0,-1327000000.0,-78000000.0,898000000.0,2506000000.0,-45000000.0,-429000000.0,322000000.0,6783000000.0,-367000000.0,8000000.0,2405000000.0,1375000000.0,0.1002,-775000000.0,0.0,,-199000000.0,-1436000000.0,1285000000.0,,1285000000.0,646000000.0,2154000000.0,0.0,-59000000.0,,2019,TSLA,0.0,-5000000.0,,,,,
4,296000000.0,3965000000.0,58000000.0,574000000.0,-2101000000.0,189000000.0,749000000.0,312000000.0,-18000000.0,-1023000000.0,89000000.0,4277000000.0,-497000000.0,-23000000.0,2098000000.0,1043000000.0,0.1425,-1063000000.0,0.0,,-219000000.0,-2337000000.0,296000000.0,,296000000.0,1797000000.0,2060000000.0,0.0,-218000000.0,,2018,TSLA,0.0,0.0,,,,,
5,482000000.0,3767000000.0,-497000000.0,4415000000.0,-3415000000.0,465000000.0,467000000.0,198000000.0,-115000000.0,-179000000.0,3468000000.0,3965000000.0,-25000000.0,40000000.0,-61000000.0,950000000.0,0.1276,-2241000000.0,0.0,,-681000000.0,-4196000000.0,482000000.0,,482000000.0,388000000.0,1727000000.0,0.0,-666000000.0,,2017,TSLA,0.0,0.0,,,,,
6,1865551000.0,1234391000.0,-693861000.0,3743976000.0,-1280802000.0,160235000.0,334225000.0,2532509000.0,342719000.0,-632867000.0,1718190000.0,3766900000.0,-216565000.0,-6553000.0,-123829000.0,301289000.0,0.1128,-773046000.0,0.0,,-595069000.0,-1081085000.0,1865551000.0,,1865551000.0,750640000.0,1041789000.0,16667000.0,-159669000.0,,2016,TSLA,16667000.0,0.0,,,,,
7,856611000.0,1905713000.0,-493289000.0,1523523000.0,-1634850000.0,-17025000.0,197999000.0,-708805000.0,-12260000.0,-369364000.0,683937000.0,1196908000.0,46267000.0,-34278000.0,-524499000.0,356809000.0,0.048,-888663000.0,0.0,,-433537000.0,-1673551000.0,856611000.0,,856611000.0,263345000.0,500644000.0,0.0,-26441000.0,,2015,TSLA,0.0,0.0,,,,,
8,489615000.0,845889000.0,-256825000.0,2143130000.0,-969885000.0,-35149000.0,156496000.0,1059824000.0,0.0,-1050264000.0,1688664000.0,1905713000.0,-183658000.0,-35525000.0,-57337000.0,191863000.0,0.0204,-294040000.0,0.0,,562241000.0,-990444000.0,489615000.0,,489615000.0,414856000.0,301665000.0,-16710000.0,-3849000.0,,2014,TSLA,-16710000.0,0.0,,,,,
9,630625000.0,201890000.0,148958000.0,635422000.0,-264224000.0,-16901000.0,80737000.0,643999000.0,0.0,-460561000.0,21698000.0,845889000.0,-21705000.0,-6810000.0,264804000.0,69076000.0,-0.0111,-74014000.0,0.0,,543811000.0,-249417000.0,630625000.0,,630625000.0,87413000.0,120784000.0,0.0,14807000.0,,2013,TSLA,0.0,0.0,,,,,
0,-6432000000.0,2343000000.0,-6240000000.0,-10993000000.0,-3119000000.0,-188000000.0,366000000.0,414000000.0,0.0,-2830000000.0,3416000000.0,2757000000.0,111000000.0,-68000000.0,14615000000.0,504000000.0,0.1221,17105000000.0,-7789000000.0,,-837000000.0,-3140000000.0,-6432000000.0,0.0,-6432000000.0,-2577000000.0,2975000000.0,0.0,-21000000.0,271000000.0,2023,HD,,,-7789000000.0,-107000000.0,,,
1,-14472000000.0,7895000000.0,-3043000000.0,-19120000000.0,-2566000000.0,-145000000.0,399000000.0,-5552000000.0,-421000000.0,-5403000000.0,2482000000.0,2343000000.0,-435000000.0,-34000000.0,16571000000.0,123000000.0,0.0976,16433000000.0,-6985000000.0,,445000000.0,-2969000000.0,-14472000000.0,0.0,-14472000000.0,2401000000.0,2862000000.0,0.0,18000000.0,196000000.0,2022,HD,,,-6985000000.0,-51000000.0,,,
2,-465000000.0,2133000000.0,3592000000.0,-2983000000.0,-2463000000.0,-154000000.0,310000000.0,5762000000.0,-7780000000.0,-1657000000.0,4087000000.0,7895000000.0,-465000000.0,76000000.0,18839000000.0,-259000000.0,0.1012,12866000000.0,-6451000000.0,,745000000.0,-10170000000.0,-465000000.0,0.0,-465000000.0,5118000000.0,2519000000.0,0.0,73000000.0,121000000.0,2021,HD,,,-6451000000.0,-149000000.0,,,
