,Beginning Cash,Assets Liabilities Change (Total),Other investing activities,Dividends Paid (Common),Accounts Payable Change,Non Cash Items (Other),Change in payables and accrued liability,Operating Cash Flow,Investments Change (Net),Capital Stock Change,Net Cash/Marketcap,Investing cash flow,Other financial activities,Dividends Paid (Total),Issuance/Purchase of Shares,Depreciation & Amortization,Financing cash flow,Long-Term Investments Change (Net),Capital expenditures,Change in Cash,Change in other assets and liabilities,Stock Based Compensation,Ending Cash,Accounts Receivable Change,Repayment/Issuance of Debt (Net),"Equity Repurchase (Common, Net)",Exchange Rate Adjustment,Net Income,Net Aquisitions,Short Term Investments Change (Net),year,ticker,Change in inventories,"Equity Repurchase (Preffered, Net)",Other operating activities,Income tax paid,Change in intangibles (net),Dividends Paid (Preffered),Discontinued Operations and Adjustments
2,263631000000.0,-136326000000.0,-34045000000.0,-12690000000.0,,15556000000.0,7415000000.0,-79910000000.0,-227867000000.0,-3447000000.0,-1.9311,-261912000000.0,603185000000.0001,-12690000000.0,-3447000000.0,8614000000.0,596645000000.0001,-180752000000.0,,263978000000.0,14034000000.0,,527609000000.0001,-9026000000.0,9597000000.0,-6517000000.0,9155000000.0,29131000000.0,,-47115000000.0,2020,JPM,-148749000000.0,3070000000.0,3115000000.0,,,,
3,278793000000.0,-51791000000.0,5317000000.0,-12343000000.0,,8851000000.0,-466000000.0,4092000000.0,-57376000000.0,-23076000000.0,-1.316,-52059000000.0,104145000000.0,-12343000000.0,-23076000000.0,8368000000.0,32987000000.0,-129772000000.0,,-15162000000.0,-59924000000.0,,263631000000.0,2048000000.0,-35739000000.0,-24001000000.0,-182000000.0,36431000000.0,,72396000000.0,2019,JPM,6551000000.0,925000000.0,2233000000.0,,,,
4,431304000000.0,-32617000000.0,-58173000000.0,-10109000000.0,,9309000000.0,14630000000.0,15614000000.0,-141247000000.0,-19983000000.0,-2.208,-199420000000.0,27010000000.0,-10109000000.0,-19983000000.0,7791000000.0,34158000000.0,-18046000000.0,,-152511000000.0,2650000000.0,,278793000000.0,-14830000000.0,37240000000.0,-19983000000.0,-2863000000.0,32474000000.0,,-123201000000.0,2018,JPM,-35067000000.0,0.0,-1343000000.0,,,,
5,391154000000.0,-58988000000.0,-46422000000.0,-8993000000.0,,9738000000.0,-16508000000.0,-10827000000.0,74671000000.0,-15410000000.0,-1.8975,28249000000.0,56052000000.0,-8993000000.0,-15410000000.0,6179000000.0,14642000000.0,43223000000.0,,40150000000.0,-30927000000.0,,431304000000.0,-17226000000.0,-17007000000.0,-15410000000.0,8086000000.0,24441000000.0,,31448000000.0,2017,JPM,5673000000.0,0.0,7803000000.0,,,,
6,361683000000.0,-18311000000.0,-68392000000.0,-8476000000.0,,11811000000.0,5087000000.0,21884000000.0,-20810000000.0,-9082000000.0,-2.1823,-89202000000.0,91162000000.0,-8476000000.0,-9082000000.0,5478000000.0,98271000000.0,-3342000000.0,,29471000000.0,3335000000.0,,391154000000.0,-6726000000.0,24667000000.0,-9082000000.0,-1482000000.0,24733000000.0,,-17468000000.0,2016,JPM,-20007000000.0,0.0,-1827000000.0,,,,
7,27831000000.0,42261000000.0,-86655000000.0,-7873000000.0,,6945000000.0,-23361000000.0,73466000000.0,193635000000.0,277000000.0,-2.4578,106980000000.0,-95036000000.0,-7873000000.0,277000000.0,4940000000.0,-187511000000.0,45983000000.0,,-7341000000.0,-20508000000.0,,20490000000.0,23918000000.0,-84879000000.0,-5616000000.0,-276000000.0,24442000000.0,,147652000000.0,2015,JPM,62212000000.0,5893000000.0,-5122000000.0,,,,
8,39771000000.0,161000000.0,-29453000000.0,-6990000000.0,,9614000000.0,6058000000.0,36593000000.0,-136183000000.0,4087000000.0,-3.4838,-165636000000.0,87744000000.0,-6990000000.0,4087000000.0,4759000000.0,118228000000.0,1395000000.0,,-11940000000.0,18672000000.0,,27831000000.0,245000000.0,33387000000.0,-4760000000.0,-1125000000.0,21745000000.0,,-137578000000.0,2014,JPM,-24814000000.0,8847000000.0,314000000.0,,,,
9,53723000000.0,76974000000.0,-12516000000.0,-6056000000.0,,9916000000.0,-5750000000.0,107953000000.0,-137985000000.0,-2716000000.0,-3.0865,-150501000000.0,70130000000.0,-6056000000.0,-2716000000.0,5306000000.0,28324000000.0,8652000000.0,,-13952000000.0,-1684000000.0,,39771000000.0,-4702000000.0,-33034000000.0,-4789000000.0,272000000.0,17886000000.0,,-146637000000.0,2013,JPM,89110000000.0,2073000000.0,-2129000000.0,,,,
0,9902000000.0,-904000000.0,-3000000.0,-1903000000.0,190000000.0,-211000000.0,1428000000.0,11195000000.0,-57000000.0,-8663000000.0,0.018,-1470000000.0,-161000000.0,-1903000000.0,-8663000000.0,2336000000.0,-10328000000.0,-57000000.0,-1097000000.0,-706000000.0,-1932000000.0,295000000.0,9196000000.0,-481000000.0,399000000.0,-8663000000.0,-103000000.0,9930000000.0,-313000000.0,0.0,2022,MA,,,44000000.0,-109000000.0,0.0,,
1,12419000000.0,-916000000.0,33000000.0,-1741000000.0,100000000.0,-441000000.0,1354000000.0,9463000000.0,-55000000.0,-5843000000.0,0.0153,-5272000000.0,-345000000.0,-1741000000.0,-5843000000.0,2097000000.0,-6555000000.0,-55000000.0,-814000000.0,-2517000000.0,-1834000000.0,273000000.0,9902000000.0,-397000000.0,1374000000.0,-5843000000.0,-153000000.0,8687000000.0,-4436000000.0,-294000000.0,2021,MA,,,36000000.0,-139000000.0,0.0,,
2,8969000000.0,-1150000000.0,-172000000.0,-1605000000.0,26000000.0,297000000.0,-187000000.0,7224000000.0,-10000000.0,-4376000000.0,0.0042,-1879000000.0,-130000000.0,-1605000000.0,-4376000000.0,1652000000.0,-2152000000.0,-10000000.0,-708000000.0,3450000000.0,-864000000.0,254000000.0,12419000000.0,-86000000.0,3959000000.0,-4376000000.0,257000000.0,6411000000.0,-989000000.0,-198000000.0,2020,MA,,,14000000.0,-39000000.0,0.0,,
3,8337000000.0,-1698000000.0,-4000000.0,-1345000000.0,-42000000.0,76000000.0,657000000.0,8183000000.0,532000000.0,-6371000000.0,0.0012,-1640000000.0,-375000000.0,-1345000000.0,-6371000000.0,1663000000.0,-5867000000.0,747000000.0,-728000000.0,632000000.0,-1867000000.0,250000000.0,8969000000.0,-246000000.0,2224000000.0,-6371000000.0,-44000000.0,8118000000.0,-1440000000.0,-215000000.0,2019,MA,,,24000000.0,-200000000.0,0.0,,
4,7592000000.0,-1313000000.0,-14000000.0,-1044000000.0,101000000.0,-48000000.0,1308000000.0,6223000000.0,12000000.0,-4829000000.0,-0.0132,-506000000.0,-84000000.0,-1044000000.0,-4829000000.0,1694000000.0,-4966000000.0,12000000.0,-504000000.0,745000000.0,-2265000000.0,196000000.0,8337000000.0,-317000000.0,991000000.0,-4829000000.0,-6000000.0,5859000000.0,0.0,0.0,2018,MA,,,31000000.0,-140000000.0,0.0,,
5,8273000000.0,-177000000.0,-1000000.0,-942000000.0,290000000.0,429000000.0,577000000.0,5664000000.0,-182000000.0,-3705000000.0,-0.0179,-1781000000.0,-53000000.0,-942000000.0,-3705000000.0,1438000000.0,-4764000000.0,-182000000.0,-423000000.0,-681000000.0,-1168000000.0,176000000.0,7592000000.0,-445000000.0,-64000000.0,-3705000000.0,200000000.0,3915000000.0,-1175000000.0,0.0,2017,MA,,,59000000.0,569000000.0,0.0,,
6,7193000000.0,-765000000.0,2000000.0,-837000000.0,145000000.0,81000000.0,537000000.0,4637000000.0,-783000000.0,-3474000000.0,-0.032,-1163000000.0,-5000000.0,-837000000.0,-3474000000.0,1233000000.0,-2344000000.0,-783000000.0,-382000000.0,1080000000.0,-1108000000.0,149000000.0,8273000000.0,-338000000.0,1972000000.0,-3474000000.0,-50000000.0,4059000000.0,0.0,0.0,2016,MA,,,29000000.0,-1000000.0,0.0,,
