,Book value per Share,Revenue per Share,Cash per Share,P/FCF ratio,Capex per Share,Intangible Assets out of Total Assets,Average Receivables,Capex/Depreciation,ROA,Cash ROIC,Shareholders Equity per Share,Depreciation/Fixed assets,Net Current Asset Value,P/S ratio,Free Cash Flow per Share,Average Common Equity,Average Days of Receivables,EV/FCF,EV/EBITDA,Quick Ratio,Capex to Sales,EV/Operating CF,ROIC,Average Days of Payables,Current Ratio,Graham Number,P/B ratio,Asset Turnover,Debt/Assets,Capital Expenditures,Interest Coverage,Average Assets,P/Operating CF,Average Payables,EV/Sales,Net Debt/EBITDA,Free Cash Flow,Working Capital,Operating CF/Net income,P/E ratio,Accounts Payable Turnover,ROE,EV/EBIT,Return on Tangible Assets,Interest Debt per Share,Research and Development Expense of Revenue,Share Based Compensation of Revenue,Accounts Receivable Turnover,Graham Net Nets,Price to Tangible BV,Operating CF per Share,Net Profit Margin,Free Cash Flow Yield,Earnings Yield,"Selling, General and Administrative Expense of Revenue",Debt/Equity,Days of Inventory on Hand,Inventory Turnover,year,ticker,Average Inventory
0,39.9952,69.6599,19.307,6.8817,-0.4632,0.0107,14077650000.0,-0.1625,0.0161,0.1148,39.9952,0.7187,-251035900000.0,1.2026,12.1728,13084300000.0,549.0755,6.6297,3.3439,0.2854,0.0066,6.3867,0.4085,3686.9765,0.2854,130.9738,2.0997,0.0586,0.014,-116300000.0,0.0,298448400000.0,18.0834,54629550000.0,1.1585,-0.1137,3056600000.0,-78018600000.0,0.6594,4.3836,0.1184,0.3677,3.3439,-0.0625,16.2393,0.0,0.0052,1.2425,-11.9149,3.0546,12.636,0.2751,0.1453,0.2281,0.0,0.406,0.0,0.0,2022,PFG,
1,59.9472,53.0212,8.6691,6.2272,-0.4829,0.0106,1783100000.0,-0.219,0.0057,0.0971,59.9472,0.5714,-284357000000.0,1.3642,11.6152,16371550000.0,47.1493,6.8762,10.3114,0.0471,0.0091,6.6018,0.0717,2230.4648,0.0471,92.6199,1.2066,0.0474,0.0143,-129900000.0,0.0,300642450000.0,16.9573,44577650000.0,1.5064,0.7576,3124500000.0,-84522510000.0,1.9025,11.3726,0.1613,0.1045,10.3114,-0.0205,16.2082,0.0,0.0067,7.9988,-14.6148,1.5086,12.0981,0.1199,0.1606,0.0879,0.0,0.2704,0.0,0.0,2021,PFG,
2,60.4925,53.6647,10.3742,3.785,-0.3961,0.0116,1732050000.0,-0.1637,0.0049,0.1129,60.4925,0.6524,-275436800000.0,0.9244,13.107,15651550000.0,42.6808,4.2055,8.9412,0.0511,0.0074,4.0822,0.0584,1963.963,0.0511,83.1523,0.8201,0.0515,0.0147,-108800000.0,0.0,286357750000.0,22.7548,43022700000.0,1.0272,0.642,3600500000.0,-85015400000.0,2.6575,9.7657,0.1953,0.0892,8.9412,-0.0166,15.8861,0.0,0.0059,8.5111,-20.2113,1.0337,13.5031,0.0947,0.2642,0.1024,0.0,0.2626,0.0,0.0,2020,PFG,
3,52.7128,58.2272,9.0305,2.8583,-0.4752,0.0126,1576700000.0,-0.2213,0.0054,0.2152,52.7128,0.6182,-257145800000.0,0.9446,19.2419,13070900000.0,39.157,3.103,9.8238,0.0511,0.0082,3.0282,0.0662,1486.8919,0.0511,76.8536,1.0434,0.0625,0.0139,-132400000.0,0.0,259561950000.0,14.8998,38251500000.0,1.0254,0.5724,5360800000.0,-79002300000.0,3.94,11.0442,0.2621,0.1067,9.8238,-0.0179,13.7383,0.0,0.0051,10.2886,-16.7817,1.3675,19.7172,0.0859,0.3499,0.0905,0.0,0.2606,0.0,0.0,2019,PFG,
4,40.084,49.8153,10.4181,2.4928,-0.323,0.0099,1441450000.0,-0.1913,0.0062,0.2475,40.084,0.6287,-227189500000.0,0.8867,17.7194,12188950000.0,36.2277,2.5569,5.7124,0.0575,0.0065,2.5112,0.0947,1565.3554,0.0575,69.6575,1.1019,0.0573,0.0136,-92300000.0,0.0,248488650000.0,8.7507,34342050000.0,0.9095,0.1434,5064200000.0,-71905200000.0,3.3343,8.21,0.2422,0.1269,7.2567,-0.0217,11.5553,0.0,0.0054,9.877,-17.9969,1.3963,18.0423,0.1086,0.4012,0.1218,0.0,0.2883,0.0,0.0,2018,PFG,
5,44.7279,48.7823,8.5524,5.0539,-0.5704,0.0094,1415850000.0,-0.383,0.0096,0.1842,44.7279,0.5666,-237078700000.0,1.4427,13.9259,11607850000.0,38.0664,5.2396,7.8583,0.0547,0.0117,5.0334,0.103,1516.5146,0.0547,89.5591,1.5735,0.0585,0.0127,-164800000.0,0.0,240977750000.0,36.354,31010000000.0,1.4957,0.2785,4023200000.0,-68123000000.0,1.8127,8.8306,0.2563,0.199,9.3597,-0.0343,11.1385,0.0,0.0059,9.9539,-11.6599,1.9294,14.4964,0.1639,0.1979,0.1132,0.0,0.249,0.0,0.0,2017,PFG,
6,35.5695,42.8269,9.3974,4.5783,-0.5352,0.0103,1395600000.0,-0.3284,0.0059,0.1951,35.5695,0.6748,-213639000000.0,1.3678,12.7951,9835600000.0,40.1073,4.7019,8.4378,0.0601,0.0125,4.5131,0.0925,1497.2496,0.0601,60.1449,1.6469,0.0555,0.0139,-154900000.0,0.0,223337300000.0,18.2193,27428600000.0,1.4047,0.2217,3702900000.0,-63814600000.0,2.9303,12.9602,0.2578,0.1339,10.9383,-0.0209,10.9782,0.0,0.0068,8.8808,-12.6018,2.1331,13.3303,0.1062,0.2184,0.0772,0.0,0.3086,0.0,0.0,2016,PFG,
7,31.8526,40.6399,8.712,3.1226,-0.4633,0.0108,1321150000.0,-0.2941,0.0055,0.2433,31.8526,0.7318,-205288800000.0,1.1068,14.4046,9804650000.0,43.6039,3.3305,7.4547,0.0638,0.0114,3.2267,0.0872,1375.5061,0.0638,54.0083,1.4121,0.0547,0.0158,-136400000.0,0.0,218873650000.0,12.5625,24946550000.0,1.1805,0.4653,4240700000.0,-58565000000.0,3.6195,11.0516,0.275,0.1233,9.8711,-0.0209,11.7062,0.0,0.0071,9.056,-15.5027,1.8892,14.8679,0.1011,0.3202,0.0905,0.0,0.3675,0.0,0.0,2015,PFG,
8,34.7201,35.5534,6.3247,5.1592,-0.4615,0.0106,1227000000.0,-0.2534,0.0051,0.1715,34.7201,0.9094,-205778100000.0,1.4609,10.0675,10004400000.0,42.2563,5.3935,7.8766,0.0516,0.013,5.1571,0.0855,1622.1727,0.0516,53.4712,1.496,0.049,0.0117,-136000000.0,0.0,213639200000.0,16.9079,23331400000.0,1.5273,0.3422,2966900000.0,-56527100000.0,2.843,14.1913,0.2318,0.1091,10.7044,-0.0195,8.6841,0.0,0.0072,8.5392,-13.4436,1.9373,10.529,0.1042,0.1938,0.0705,0.0,0.2501,0.0,0.0,2014,PFG,
9,33.1874,31.5326,8.0509,6.7197,-0.2016,0.0123,1162700000.0,-0.1742,0.0048,0.1155,33.1874,0.681,-194801600000.0,1.5638,7.3381,9740100000.0,48.761,6.8956,10.1754,0.0607,0.0064,6.7112,0.0692,1694.8986,0.0607,47.0134,1.4858,0.0502,0.0132,-59400000.0,0.0,185010800000.0,17.6445,22531200000.0,1.6047,0.2595,2161800000.0,-55881200000.0,2.525,16.6588,0.2163,0.0903,13.2624,-0.0159,9.3415,0.0,0.0074,7.9896,-13.4099,2.0127,7.5397,0.0947,0.1488,0.06,0.0,0.2815,0.0,0.0,2013,PFG,
0,25.1614,13.582,17.7613,3.9124,-0.9918,0.0329,,-1.5665,0.0111,0.0937,25.1614,0.1994,-57601000000.0,2.4032,8.3426,17652500000.0,0.0,4.5184,0.0,0.0717,0.073,4.0383,0.0929,61090.8487,0.7771,40.9252,1.4777,0.0447,0.0757,-683000000.0,,209284000000.0,10.8427,166507000000.0,2.7754,0.0,5745000000.0,-38006000000.0,2.7588,9.6855,0.0059,0.132,0.0,-0.065,22.8162,0.0,0.0176,0.0,-2.5627,2.6819,9.3344,0.2491,0.2556,0.1032,0.5647,0.9068,0.0,0.0,2022,FITB,
1,31.6297,11.8615,54.2276,14.8376,-0.9157,0.0274,,-1.8424,0.0128,0.0078,31.6297,0.1646,-36255000000.0,3.6715,2.9351,20544500000.0,0.0,3.4946,0.0,0.2203,0.0772,2.6636,0.0,140143.4467,0.8833,49.3337,1.5219,0.0401,0.0696,-643000000.0,,207898000000.0,22.7871,164202500000.0,0.8647,0.0,2061000000.0,-20167000000.0,1.0169,11.5212,0.0027,0.1294,0.0,-0.1473,20.9345,0.0,0.0144,0.0,-1.1856,2.138,3.8508,0.3192,0.0674,0.0868,0.5248,0.6619,0.0,0.0,2021,FITB,
2,32.3353,11.7555,51.9161,9852.5475,-0.5163,0.0247,,-0.75,0.0071,-0.0215,32.3353,0.2356,-33393000000.0,2.3453,0.0028,20214000000.0,0.0,1165.0475,0.0,0.2274,0.0439,6.2806,0.1958,73499.4494,0.908,34.8728,0.9386,0.0449,0.0964,-369000000.0,,187024500000.0,-11.9861,143071500000.0,0.2773,0.0,2000000.0,-15011000000.0,0.2804,14.9837,0.0055,0.0654,0.0,-0.1024,27.6062,0.0,0.0146,0.0,-1.6946,1.236,0.5191,0.1575,0.0001,0.0667,0.6921,0.8537,0.0,0.0,2020,FITB,
3,29.8452,13.7803,7.7769,13.7871,-0.3378,0.0322,,-0.5085,0.0153,-0.0038,29.8452,0.2366,-32885000000.0,2.2307,2.2296,17176000000.0,0.0,21.984,0.0,0.0422,0.0245,19.0914,0.0585,31830.906,0.8815,45.7445,1.1238,0.0621,0.1093,-240000000.0,,157719000000.0,15.8366,117948500000.0,3.557,0.0,1584000000.0,-15493000000.0,0.754,9.0412,0.0124,0.1408,0.0,-0.1792,26.0531,0.0,0.0135,0.0,-1.5058,1.5614,2.5674,0.2471,0.0725,0.1106,0.5241,0.8729,0.0,0.0,2019,FITB,
