,Net Aquisitions,Dividends Paid (Total),Change in other assets and liabilities,Other financial activities,Repayment/Issuance of Debt (Net),Capital Stock Change,Financing cash flow,Beginning Cash,Investments Change (Net),Net Income,Change in inventories,Stock Based Compensation,Dividends Paid (Common),Ending Cash,Issuance/Purchase of Shares,Assets Liabilities Change (Total),Accounts Receivable Change,Change in Cash,Non Cash Items (Other),Operating Cash Flow,Other investing activities,"Equity Repurchase (Common, Net)",Net Cash/Marketcap,Change in payables and accrued liability,Depreciation & Amortization,Short Term Investments Change (Net),Investing cash flow,Accounts Payable Change,Capital expenditures,Long-Term Investments Change (Net),Change in intangibles (net),year,ticker,Income tax paid,Exchange Rate Adjustment,Other operating activities,Discontinued Operations and Adjustments,"Equity Repurchase (Preffered, Net)",Dividends Paid (Preffered)
2,-8909000000.0,-16521000000.0,1160000000.0,-2523000000.0,-3750000000.0,-25692000000.0,-48486000000.0,13576000000.0,2876000000.0,61271000000.0,-737000000.0,6118000000.0,-16521000000.0,14224000000.0,-25692000000.0,-5569000000.0,-6481000000.0,648000000.0,9352000000.0,76740000000.0,-922000000.0,-25692000000.0,-0.0353,2798000000.0,11686000000.0,,-27577000000.0,2798000000.0,-20622000000.0,2876000000.0,,2021,MSFT,-2309000000.0,-29000000.0,,,,
3,-2521000000.0,-15137000000.0,-673000000.0,-3751000000.0,-5518000000.0,-21625000000.0,-46031000000.0,11356000000.0,6980000000.0,44281000000.0,168000000.0,5289000000.0,-15137000000.0,13576000000.0,-21625000000.0,-3695000000.0,-2577000000.0,2220000000.0,7293000000.0,60675000000.0,-1241000000.0,-21625000000.0,-0.0473,3018000000.0,12796000000.0,,-12223000000.0,3018000000.0,-15441000000.0,6980000000.0,,2020,MSFT,-3631000000.0,-201000000.0,,,,
4,-2388000000.0,-13811000000.0,-1542000000.0,-675000000.0,-4000000000.0,-18401000000.0,-36887000000.0,11946000000.0,540000000.0,39240000000.0,597000000.0,4652000000.0,-13811000000.0,11356000000.0,-18401000000.0,-596000000.0,-2812000000.0,-590000000.0,1859000000.0,52185000000.0,-675000000.0,-18401000000.0,-0.0592,232000000.0,11682000000.0,,-15773000000.0,232000000.0,-13925000000.0,540000000.0,,2019,MSFT,2929000000.0,-115000000.0,,,,
5,-888000000.0,-12699000000.0,-459000000.0,-971000000.0,-10201000000.0,-9719000000.0,-33590000000.0,7663000000.0,6557000000.0,16571000000.0,-465000000.0,3940000000.0,-12699000000.0,11946000000.0,-9719000000.0,14545000000.0,-3862000000.0,4283000000.0,2507000000.0,43884000000.0,-98000000.0,-9719000000.0,-0.0747,1148000000.0,10261000000.0,,-6061000000.0,1148000000.0,-11632000000.0,6557000000.0,,2018,MSFT,18183000000.0,50000000.0,,,,
6,-25944000000.0,-11845000000.0,349000000.0,-190000000.0,31459000000.0,-11016000000.0,8408000000.0,6510000000.0,-12511000000.0,25489000000.0,50000000.0,3266000000.0,-11845000000.0,7663000000.0,-11016000000.0,1056000000.0,-1216000000.0,1153000000.0,4184000000.0,39507000000.0,-197000000.0,-11016000000.0,-0.0876,81000000.0,8778000000.0,,-46781000000.0,81000000.0,-8129000000.0,-12511000000.0,,2017,MSFT,1792000000.0,19000000.0,,,,
7,-1393000000.0,-11006000000.0,-2907000000.0,-369000000.0,18283000000.0,-15301000000.0,-8393000000.0,5595000000.0,-14417000000.0,20539000000.0,600000000.0,2668000000.0,-11006000000.0,6510000000.0,-15301000000.0,-1955000000.0,562000000.0,915000000.0,7489000000.0,33325000000.0,203000000.0,-15301000000.0,-0.1474,88000000.0,7252000000.0,,-23950000000.0,88000000.0,-8343000000.0,-14417000000.0,,2016,MSFT,-298000000.0,-67000000.0,,,,
8,-3723000000.0,-9882000000.0,1383000000.0,362000000.0,13661000000.0,-13809000000.0,-9668000000.0,8669000000.0,-12868000000.0,12193000000.0,-272000000.0,2574000000.0,-9882000000.0,5595000000.0,-13809000000.0,1513000000.0,1456000000.0,-3074000000.0,2507000000.0,29668000000.0,-466000000.0,-13809000000.0,-0.1696,0.0,13455000000.0,,-23001000000.0,-1054000000.0,-5944000000.0,-12868000000.0,,2015,MSFT,0.0,-73000000.0,,,,
9,-5937000000.0,-8879000000.0,1432000000.0,-39000000.0,6962000000.0,-6709000000.0,-8665000000.0,3804000000.0,-7324000000.0,22074000000.0,-161000000.0,2446000000.0,-8879000000.0,8669000000.0,-6709000000.0,624000000.0,-1120000000.0,4865000000.0,4592000000.0,32502000000.0,-87000000.0,-6709000000.0,-0.1822,0.0,5212000000.0,,-18833000000.0,473000000.0,-5485000000.0,-7324000000.0,,2014,MSFT,0.0,-139000000.0,,,,
0,-49000000.0,-398000000.0,-1265000000.0,-1180000000.0,0.0,-10039000000.0,-11617000000.0,1990000000.0,9334000000.0,4368000000.0,-2554000000.0,2709000000.0,-398000000.0,3389000000.0,-10039000000.0,-2207000000.0,822000000.0,1399000000.0,1936000000.0,5641000000.0,-77000000.0,-10039000000.0,-0.0045,1341000000.0,1544000000.0,9334000000.0,7375000000.0,-551000000.0,-1833000000.0,,,2023,NVDA,,,,,,
1,-263000000.0,-399000000.0,-1523000000.0,-1713000000.0,3977000000.0,281000000.0,1865000000.0,847000000.0,-8567000000.0,9752000000.0,-774000000.0,2004000000.0,-399000000.0,1990000000.0,0.0,-3363000000.0,-2215000000.0,1143000000.0,1545000000.0,9108000000.0,-24000000.0,0.0,-0.0166,581000000.0,1174000000.0,-8567000000.0,-9830000000.0,568000000.0,-976000000.0,,,2022,NVDA,,,,,,
2,-8524000000.0,-395000000.0,-231000000.0,-769000000.0,4968000000.0,194000000.0,3804000000.0,10896000000.0,-9989000000.0,4332000000.0,-524000000.0,1397000000.0,-395000000.0,847000000.0,0.0,-703000000.0,-550000000.0,-10049000000.0,1095000000.0,5822000000.0,-34000000.0,0.0,-0.0137,290000000.0,1098000000.0,-9989000000.0,-19675000000.0,312000000.0,-1128000000.0,,,2021,NVDA,,,,,,
3,-4000000.0,-390000000.0,105000000.0,-402000000.0,0.0,149000000.0,-792000000.0,782000000.0,6648000000.0,2796000000.0,597000000.0,844000000.0,-390000000.0,10896000000.0,0.0,717000000.0,-233000000.0,10114000000.0,867000000.0,4761000000.0,-10000000.0,0.0,-0.0611,54000000.0,381000000.0,6648000000.0,6145000000.0,194000000.0,-489000000.0,,,2020,NVDA,,,,,,
4,0.0,-371000000.0,-53000000.0,-900000000.0,-16000000.0,-1579000000.0,-2866000000.0,4002000000.0,-3488000000.0,4141000000.0,-776000000.0,557000000.0,-371000000.0,782000000.0,-1579000000.0,-857000000.0,-149000000.0,-3220000000.0,197000000.0,3743000000.0,-9000000.0,-1579000000.0,-0.0621,256000000.0,262000000.0,-3488000000.0,-4097000000.0,-135000000.0,-600000000.0,,,2019,NVDA,,,,,,
5,0.0,-341000000.0,21000000.0,-482000000.0,-812000000.0,-909000000.0,-2544000000.0,1766000000.0,1869000000.0,3047000000.0,796000000.0,391000000.0,-341000000.0,4002000000.0,-909000000.0,185000000.0,-440000000.0,2236000000.0,71000000.0,3502000000.0,-657000000.0,-909000000.0,-0.0347,514000000.0,199000000.0,1869000000.0,1278000000.0,90000000.0,-591000000.0,,,2018,NVDA,,,,,,
6,0.0,-261000000.0,-18000000.0,-24000000.0,1315000000.0,-739000000.0,291000000.0,596000000.0,-624000000.0,1666000000.0,-375000000.0,247000000.0,-261000000.0,1766000000.0,-739000000.0,-679000000.0,-321000000.0,1170000000.0,498000000.0,1672000000.0,-12000000.0,-739000000.0,-0.0675,-149000000.0,187000000.0,-624000000.0,-793000000.0,184000000.0,-169000000.0,,,2017,NVDA,,,,,,
7,0.0,-213000000.0,-16000000.0,124000000.0,0.0,-587000000.0,-676000000.0,497000000.0,-345000000.0,614000000.0,66000000.0,204000000.0,-213000000.0,596000000.0,-587000000.0,-51000000.0,-32000000.0,99000000.0,386000000.0,1175000000.0,24000000.0,-587000000.0,-0.2215,-58000000.0,226000000.0,-345000000.0,-400000000.0,-11000000.0,-79000000.0,,,2016,NVDA,,,,,,
8,0.0,-186000000.0,4000000.0,12000000.0,0.0,-660000000.0,-834000000.0,1152000000.0,-625000000.0,631000000.0,-95000000.0,158000000.0,-186000000.0,497000000.0,-660000000.0,-203000000.0,-49000000.0,-655000000.0,230000000.0,906000000.0,-1000000.0,-660000000.0,-0.2975,-36000000.0,248000000.0,-625000000.0,-727000000.0,-27000000.0,-101000000.0,,,2015,NVDA,,,,,,
9,-17000000.0,-181000000.0,12000000.0,21000000.0,1309000000.0,-759000000.0,390000000.0,733000000.0,-554000000.0,440000000.0,25000000.0,136000000.0,-181000000.0,1152000000.0,-759000000.0,13000000.0,29000000.0,419000000.0,138000000.0,835000000.0,-5000000.0,-759000000.0,-0.3568,-33000000.0,244000000.0,-554000000.0,-806000000.0,-20000000.0,-230000000.0,,,2014,NVDA,,,,,,
0,0.0,-9282000000.0,1926200000.0,125400000.0,2668800000.0,-28400000.0,-6516200000.0,34656400000.0,-4247500000.0,37229800000.0,-912700000.0,9800000.0,-9282000000.0,43697200000.0,-28400000.0,3986700000.0,-28300000.0,9040800000.0,-217300000.0,52411300000.0,918600000.0,-28400000.0,-0.0593,2747700000.0,14228900000.0,0.0,-38754600000.0,253800000.0,-35199800000.0,-4247500000.0,-225900000.0,2022,TSM,,1900300000.0,-2816800000.0,1956298000.0,,
