,Net Aquisitions,Dividends Paid (Total),Change in other assets and liabilities,Other financial activities,Repayment/Issuance of Debt (Net),Capital Stock Change,Financing cash flow,Beginning Cash,Investments Change (Net),Net Income,Change in inventories,Stock Based Compensation,Dividends Paid (Common),Ending Cash,Issuance/Purchase of Shares,Assets Liabilities Change (Total),Accounts Receivable Change,Change in Cash,Non Cash Items (Other),Operating Cash Flow,Other investing activities,"Equity Repurchase (Common, Net)",Net Cash/Marketcap,Change in payables and accrued liability,Depreciation & Amortization,Short Term Investments Change (Net),Investing cash flow,Accounts Payable Change,Capital expenditures,Long-Term Investments Change (Net),Change in intangibles (net),year,ticker,Income tax paid,Exchange Rate Adjustment,Other operating activities,Discontinued Operations and Adjustments,"Equity Repurchase (Preffered, Net)",Dividends Paid (Preffered)
4,-355142000.0,-134292000.0,-10130000.0,46555000.0,0.0,-337948000.0,-425685000.0,649611000.0,227053000.0,354396000.0,,47476000.0,-134292000.0,418783000.0,-337948000.0,-82269000.0,-66451000.0,-230828000.0,73898000.0,557249000.0,-3157000.0,-337948000.0,-0.043,25348000.0,211224000.0,227053000.0,-362392000.0,,-231146000.0,0.0,,2018,DOX,-31036000.0,,,,,
5,-18064000.0,-121503000.0,-77861000.0,4666000.0,-200000000.0,-253011000.0,-569848000.0,768660000.0,-3917000.0,436826000.0,,44539000.0,-121503000.0,649611000.0,-253011000.0,-62032000.0,-41075000.0,-119049000.0,46433000.0,636112000.0,-29940000.0,-253011000.0,-0.0833,72049000.0,214885000.0,-3917000.0,-185313000.0,,-133392000.0,0.0,,2017,DOX,-15145000.0,,,,,
6,-283450000.0,-109304000.0,-34002000.0,6830000.0,-20000000.0,-323822000.0,-446296000.0,1035573000.0,-370742000.0,409331000.0,,42700000.0,-109304000.0,768660000.0,-323822000.0,-34767000.0,-70859000.0,-266913000.0,33879000.0,620234000.0,-18533000.0,-323822000.0,-0.1047,59982000.0,211791000.0,-370742000.0,-440851000.0,,231874000.0,0.0,,2016,DOX,10112000.0,,,,,
7,-263193000.0,-100790000.0,12267000.0,5940000.0,10000000.0,-375814000.0,-460664000.0,1103269000.0,2634000.0,446163000.0,,44560000.0,-100790000.0,1035573000.0,-375814000.0,139464000.0,39829000.0,-67696000.0,12200000.0,772622000.0,1408000.0,-375814000.0,-0.1304,63894000.0,174795000.0,2634000.0,-379654000.0,,-120503000.0,0.0,,2015,DOX,23474000.0,,,,,
8,-180540000.0,-90939000.0,8603000.0,3200000.0,10000000.0,-243889000.0,-321628000.0,1014192000.0,-10316000.0,422122000.0,,44578000.0,-90939000.0,1103269000.0,-243889000.0,89198000.0,5540000.0,89077000.0,35166000.0,709258000.0,3872000.0,-243889000.0,-0.1684,73949000.0,162772000.0,-10316000.0,-298553000.0,,-111569000.0,0.0,,2014,DOX,1106000.0,,,,,
0,-67911000.0,,-92535000.0,-21025000.0,-20000000.0,-435483000.0,-476508000.0,584333000.0,319651000.0,322160000.0,-46310000.0,249216000.0,0.0,762207000.0,-435483000.0,-250287000.0,-130605000.0,177874000.0,255149000.0,442631000.0,-21025000.0,-435483000.0,-0.0301,19163000.0,115609000.0,,218116000.0,,-33624000.0,319651000.0,0.0,2022,FFIV,,-6365000.0,,,,
1,-411319000.0,,-30115000.0,-14032000.0,-20000000.0,-434248000.0,-468280000.0,852826000.0,-3365000.0,331241000.0,5843000.0,243279000.0,0.0,584333000.0,-434248000.0,-47628000.0,-46289000.0,-268493000.0,246159000.0,645196000.0,-14032000.0,-434248000.0,-0.0449,22933000.0,115424000.0,,-445335000.0,,-30651000.0,-3365000.0,0.0,2021,FFIV,,-74000.0,,,,
2,-955574000.0,,-90322000.0,-5576000.0,390000000.0,-47181000.0,337243000.0,602254000.0,268512000.0,307441000.0,6503000.0,201948000.0,0.0,852826000.0,-47181000.0,-2575000.0,46502000.0,250572000.0,260175000.0,660898000.0,-2536000.0,-47181000.0,-0.1099,34742000.0,95857000.0,,-747002000.0,,-59940000.0,268512000.0,0.0,2020,FFIV,,-567000.0,,,,
3,-611550000.0,,12527000.0,179060000.0,0.0,-155447000.0,-155447000.0,425894000.0,300458000.0,427734000.0,-3832000.0,162914000.0,0.0,602254000.0,-155447000.0,65100000.0,-18305000.0,176360000.0,186500000.0,747841000.0,0.0,-155447000.0,-0.1153,74710000.0,68507000.0,,-414634000.0,,-103542000.0,300458000.0,0.0,2019,FFIV,,-1400000.0,,,,
4,0.0,,67069000.0,159049000.0,0.0,-551263000.0,-551263000.0,674452000.0,-403558000.0,453689000.0,-734000.0,157855000.0,0.0,425894000.0,-551263000.0,68029000.0,-4889000.0,-248558000.0,179859000.0,761068000.0,0.0,-551263000.0,-0.0889,6583000.0,59491000.0,,-456023000.0,,-52465000.0,-403558000.0,0.0,2018,FFIV,,-2340000.0,,,,
5,0.0,,77118000.0,7019000.0,0.0,-553051000.0,-546032000.0,515722000.0,10469000.0,420761000.0,4218000.0,175326000.0,0.0,674452000.0,-553051000.0,87745000.0,-24115000.0,158730000.0,170627000.0,740281000.0,7019000.0,-553051000.0,-0.1281,30524000.0,61148000.0,,-32212000.0,,-38681000.0,10469000.0,-4000000.0,2017,FFIV,,-3307000.0,,,,
6,0.0,,84343000.0,2608000.0,0.0,-655255000.0,-652647000.0,390460000.0,130961000.0,365855000.0,-334000.0,156760000.0,0.0,514571000.0,-655255000.0,126958000.0,9732000.0,124111000.0,161946000.0,711535000.0,-3000.0,-655255000.0,-0.105,33217000.0,56776000.0,,62720000.0,,-63488000.0,130961000.0,-4750000.0,2016,FFIV,,2503000.0,,,,
7,0.0,,140597000.0,9517000.0,0.0,-566418900.0,-556902000.0,281502000.0,56387000.0,365014000.0,-9246000.0,145553000.0,0.0,390460000.0,-566418900.0,132192000.0,-38680000.0,108958000.0,134752000.0,684541000.0,0.0,-566418900.0,-0.0929,39521000.0,52583000.0,,-10699000.0,,-60307000.0,56387000.0,-6779000.0,2015,FFIV,,-7982000.0,,,,
8,-49439000.0,,92948000.0,10283000.0,0.0,-615243000.0,-604960000.0,189693000.0,222798000.0,311183000.0,-5445000.0,127156000.0,0.0,281502000.0,-615243000.0,64947000.0,-40895000.0,91809000.0,126741000.0,548992000.0,0.0,-615243000.0,-0.0721,18339000.0,46121000.0,,150641000.0,,-22718000.0,222798000.0,0.0,2014,FFIV,,-2864000.0,,,,
0,-75400000.0,,-129700000.0,488200000.0,-127500000.0,-914300000.0,-1041800000.0,533000000.0,42200000.0,553200000.0,,330700000.0,0.0,232800000.0,-914300000.0,-124300000.0,-5500000.0,-300200000.0,167600000.0,797300000.0,19600000.0,-914300000.0,0.0447,-2100000.0,200800000.0,31600000.0,-48500000.0,13000000.0,-33800000.0,10600000.0,-1100000.0,2022,DBX,,-7200000.0,,,,
1,-140000000.0,,-129000000.0,-23700000.0,1216300000.0,-1176400000.0,16200000.0,314900000.0,-396100000.0,335800000.0,,287100000.0,0.0,533000000.0,-1176400000.0,-132700000.0,-6200000.0,218100000.0,339200000.0,729800000.0,40200000.0,-1176400000.0,0.002,-5100000.0,187500000.0,-396100000.0,-524800000.0,7600000.0,-22100000.0,0.0,-6800000.0,2021,DBX,,-3100000.0,,,,
2,0.0,,-52400000.0,-800000.0,-89500000.0,-487400000.0,-577700000.0,551300000.0,-170600000.0,-256300000.0,,261500000.0,0.0,314900000.0,-487400000.0,-75400000.0,-5500000.0,-236400000.0,718200000.0,570800000.0,17300000.0,-487400000.0,-0.0829,2400000.0,184300000.0,-197000000.0,-233600000.0,-19900000.0,-80100000.0,26400000.0,-200000.0,2020,DBX,,4100000.0,,,,
3,-173900000.0,,104000000.0,-600000.0,-92900000.0,-83200000.0,-176700000.0,519300000.0,-24500000.0,-52700000.0,,261200000.0,0.0,551300000.0,-83200000.0,145000000.0,-7500000.0,32000000.0,244600000.0,528500000.0,16200000.0,-83200000.0,-0.1172,42100000.0,191600000.0,-24500000.0,-320000000.0,6400000.0,-136100000.0,0.0,-1700000.0,2019,DBX,,200000.0,,,,
4,0.0,,19500000.0,-11000000.0,-109100000.0,420900000.0,300800000.0,430000000.0,-566800000.0,-484900000.0,,650100000.0,0.0,519300000.0,420900000.0,83200000.0,100000.0,89300000.0,648200000.0,425400000.0,-1000000.0,420900000.0,-0.1364,65300000.0,178900000.0,-566800000.0,-633800000.0,-1700000.0,-63000000.0,0.0,-3000000.0,2018,DBX,,-3100000.0,,,,
5,0.0,,31100000.0,-11300000.0,-133000000.0,-87400000.0,-231700000.0,352700000.0,0.0,-111700000.0,,174000000.0,0.0,430000000.0,-87400000.0,81300000.0,-14400000.0,77300000.0,172300000.0,330300000.0,2200000.0,-87400000.0,-0.0642,48400000.0,188400000.0,0.0,-23900000.0,16200000.0,-25300000.0,0.0,-800000.0,2017,DBX,,2600000.0,,,,
6,0.0,,89100000.0,-1600000.0,-132900000.0,0.0,-134500000.0,356900000.0,0.0,-210200000.0,,147600000.0,0.0,352700000.0,0.0,118800000.0,1000000.0,-4200000.0,148700000.0,252600000.0,5700000.0,0.0,-0.0642,23200000.0,195300000.0,0.0,-118000000.0,5500000.0,-115200000.0,0.0,-8500000.0,2016,DBX,,-4300000.0,,,,
7,-2300000.0,,111600000.0,0.0,-91100000.0,1500000.0,-89600000.0,518200000.0,0.0,-325900000.0,,66100000.0,0.0,356900000.0,1500000.0,123600000.0,-9900000.0,-161300000.0,66900000.0,14800000.0,0.0,1500000.0,-0.0642,12700000.0,150200000.0,0.0,-85600000.0,9200000.0,-78700000.0,0.0,-4600000.0,2015,DBX,,-900000.0,,,,
0,-46000000.0,,-131000000.0,23000000.0,30000000.0,15000000.0,38000000.0,851000000.0,-19000000.0,-275000000.0,-68000000.0,238000000.0,0.0,635000000.0,15000000.0,-129000000.0,-35000000.0,-216000000.0,180000000.0,-156000000.0,-3000000.0,15000000.0,-0.1032,116000000.0,68000000.0,-19000000.0,-98000000.0,-11000000.0,-33000000.0,,,2022,TOST,,0.0,0.0,,0.0,
1,-26000000.0,,-103000000.0,20000000.0,-245000000.0,984000000.0,759000000.0,594000000.0,-459000000.0,-487000000.0,-23000000.0,159000000.0,0.0,851000000.0,984000000.0,11000000.0,-23000000.0,257000000.0,427000000.0,2000000.0,1000000.0,984000000.0,-0.1161,145000000.0,51000000.0,-459000000.0,-503000000.0,15000000.0,-19000000.0,,,2021,TOST,,-1000000.0,0.0,,0.0,
2,0.0,,-2000000.0,4000000.0,186000000.0,404000000.0,594000000.0,159000000.0,0.0,-248000000.0,-4000000.0,86000000.0,0.0,594000000.0,404000000.0,-28000000.0,-13000000.0,435000000.0,109000000.0,-125000000.0,212000.0,3000000.0,0.0358,-3000000.0,42000000.0,0.0,-36000000.0,-6000000.0,-36000000.0,,,2020,TOST,,2000000.0,0.0,,401000000.0,
3,-33000000.0,,18000000.0,-2000000.0,7000000.0,251000000.0,256000000.0,76000000.0,0.0,-209000000.0,-7000000.0,34000000.0,0.0,159000000.0,251000000.0,44000000.0,-4000000.0,83000000.0,32000000.0,-126000000.0,1000000.0,1000000.0,0.0358,22000000.0,7000000.0,0.0,-47000000.0,15000000.0,-15000000.0,,,2019,TOST,,-30000.0,0.0,,250000000.0,
4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2017,TOST,,0.0,0.0,,0.0,
0,0.0,,62411000.0,-4140000.0,-1705000.0,44497000.0,38652000.0,589212000.0,-292337000.0,-286931000.0,,162886000.0,0.0,299816000.0,44497000.0,61676000.0,-35817000.0,-289396000.0,174824000.0,12608000.0,1291000.0,44497000.0,-0.0822,34623000.0,63039000.0,-373165000.0,-340476000.0,459000.0,-49430000.0,80828000.0,,2022,PCOR,,-180000.0,0.0,,0.0,
1,-509837000.0,,46000000.0,-4355000.0,-1509000.0,717690000.0,711826000.0,383253000.0,-4300000.0,-265165000.0,,227161000.0,0.0,589212000.0,717690000.0,53946000.0,-34184000.0,205959000.0,211573000.0,36730000.0,-4300000.0,717690000.0,-0.0716,38176000.0,36376000.0,-4300000.0,-541768000.0,3954000.0,-27631000.0,0.0,,2021,PCOR,,-829000.0,0.0,,0.0,
2,-14545000.0,,27415000.0,-2558000.0,-1340000.0,276015000.0,272117000.0,121828000.0,0.0,-96167000.0,,43960000.0,0.0,383253000.0,276015000.0,2638000.0,-20068000.0,261425000.0,89388000.0,21853000.0,-2465000.0,31176000.0,-0.1298,-5433000.0,25994000.0,0.0,-33511000.0,724000.0,-18966000.0,0.0,,2020,PCOR,,966000.0,0.0,,244839000.0,
3,-38695000.0,,43313000.0,-2805000.0,-1126000.0,96688000.0,92757000.0,102821000.0,0.0,-83107000.0,,19238000.0,0.0,121828000.0,96688000.0,36885000.0,-19609000.0,19007000.0,24337000.0,-7004000.0,-2805000.0,6688000.0,-0.1298,12376000.0,14881000.0,0.0,-66685000.0,805000.0,-27990000.0,0.0,,2019,PCOR,,-61000.0,0.0,,90000000.0,
4,-2125000.0,,20186000.0,-156000.0,312000.0,77993000.0,78149000.0,70016000.0,0.0,-56671000.0,,7489000.0,0.0,102821000.0,77993000.0,12428000.0,-15371000.0,32805000.0,14886000.0,-21103000.0,-156000.0,3152000.0,-0.1298,7294000.0,8254000.0,0.0,-23957000.0,319000.0,-21832000.0,0.0,,2018,PCOR,,-284000.0,0.0,,74841000.0,
5,0.0,,25689000.0,4739000.0,-4511000.0,1060000.0,-3796000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-11760000.0,-33061000.0,0.0,-20149000.0,0.0,0.0,-0.1298,2908000.0,10988000.0,0.0,-9117000.0,0.0,0.0,0.0,,2017,PCOR,,0.0,0.0,,0.0,
0,-29542000.0,0.0,-21465000.0,-82575000.0,-3307000.0,21906000.0,-60669000.0,1768723000.0,-236983000.0,-328352000.0,,369840000.0,0.0,1402119000.0,21906000.0,-146687000.0,-123783000.0,-366604000.0,376616000.0,-9981000.0,1197000.0,21906000.0,-0.2012,132000.0,88442000.0,-236983000.0,-289143000.0,-1571000.0,-23815000.0,0.0,0.0,2023,PATH,,-6811000.0,0.0,,0.0,
1,-5498000.0,692369000.0,-92789000.0,-3933000.0,-9064000.0,781237000.0,1469673000.0,371190000.0,-15384000.0,-525586000.0,,515583000.0,692369000.0,1768723000.0,781237000.0,-105902000.0,-86387000.0,1397533000.0,511734000.0,-54963000.0,-2731000.0,31237000.0,-0.1092,69767000.0,64791000.0,-15384000.0,-35442000.0,3507000.0,-11829000.0,-1500000.0,-1231000.0,2022,PATH,,18265000.0,0.0,,750000000.0,
2,-19690000.0,0.0,78000.0,-1864000.0,-8080000.0,252282000.0,250418000.0,234131000.0,-103108000.0,-92393000.0,,86167000.0,0.0,371190000.0,252282000.0,-18890000.0,-76907000.0,137059000.0,79599000.0,29177000.0,0.0,26379000.0,-0.0403,56046000.0,60861000.0,-103108000.0,-125991000.0,1893000.0,-3193000.0,0.0,0.0,2021,PATH,,-16545000.0,0.0,,225903000.0,
3,-18525000.0,0.0,6075000.0,-591000.0,-5064000.0,458356000.0,457765000.0,172118000.0,0.0,-519933000.0,,137862000.0,0.0,234131000.0,458356000.0,-24130000.0,-52146000.0,62013000.0,138492000.0,-359436000.0,0.0,-125244000.0,-0.0403,36498000.0,46135000.0,0.0,-39506000.0,-14557000.0,-20981000.0,0.0,0.0,2020,PATH,,3190000.0,0.0,,583600000.0,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-262000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,PATH,,0.0,0.0,,0.0,
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,PATH,,0.0,0.0,,0.0,
0,-95000.0,,46762000.0,-24109000.0,0.0,-829244000.0,-853353000.0,972805000.0,0.0,103152000.0,-81450000.0,105580000.0,0.0,808943000.0,-829244000.0,96985000.0,264781000.0,-163862000.0,304246000.0,843231000.0,5639000.0,-829244000.0,0.1212,-17613000.0,338848000.0,,-153409000.0,-115495000.0,-158953000.0,0.0,0.0,2023,QRVO,,-331000.0,,,,
1,-389136000.0,,-201844000.0,-63096000.0,301570000.0,-1113984000.0,-875510000.0,1398309000.0,0.0,1033353000.0,-236196000.0,83507000.0,0.0,972805000.0,-1113984000.0,-523801000.0,-107896000.0,-425504000.0,178276000.0,1049243000.0,6646000.0,-1113984000.0,0.0798,-11815000.0,361415000.0,,-595956000.0,33950000.0,-213466000.0,0.0,0.0,2022,QRVO,,-3281000.0,,,,
2,-47069000.0,,-4650000.0,-48193000.0,118756000.0,-472486000.0,-401923000.0,715612000.0,0.0,733611000.0,9390000.0,89322000.0,0.0,1398309000.0,-472486000.0,-21663000.0,-91275000.0,682697000.0,133801000.0,1301853000.0,15371000.0,-472486000.0,0.0175,30671000.0,456104000.0,,-218658000.0,34201000.0,-186960000.0,0.0,0.0,2021,QRVO,,1425000.0,,,,
3,-946000000.0,,-16727000.0,-28508000.0,659000000.0,-464933000.0,165559000.0,711382000.0,1950000.0,334325000.0,10252000.0,75978000.0,0.0,715612000.0,-464933000.0,78649000.0,21029000.0,4230000.0,63741000.0,945646000.0,4405000.0,-464933000.0,0.0911,64095000.0,468931000.0,,-1105742000.0,0.0,-1110147000.0,1950000.0,0.0,2020,QRVO,,-1233000.0,,,,
4,0.0,,-35641000.0,-34549000.0,-145330100.0,-596785000.0,-776664000.0,926402000.0,400000.0,133125000.0,-39590000.0,71580000.0,0.0,711382000.0,-596785000.0,-96082000.0,-32119000.0,-215020000.0,110224000.0,810364000.0,-27017000.0,-596785000.0,0.023,11268000.0,663097000.0,,-247554000.0,0.0,-220937000.0,400000.0,0.0,2019,QRVO,,-1166000.0,,,,
5,0.0,,83347000.0,-26624000.0,-7729000.0,-162495000.0,-196848000.0,545779000.0,0.0,-40288000.0,-41887000.0,68158000.0,0.0,926402000.0,-162495000.0,90695000.0,12906000.0,380623000.0,87898000.0,852520000.0,-7574000.0,-162495000.0,0.0066,36329000.0,714215000.0,,-277409000.0,0.0,-269835000.0,0.0,0.0,2018,QRVO,,2360000.0,,,,
6,-117994000.0,,38381000.0,-15441000.0,0.0,-150209000.0,-165650000.0,426062000.0,186324000.0,-16558000.0,-6442000.0,88845000.0,0.0,545779000.0,-150209000.0,20897000.0,-36873000.0,119717000.0,67904000.0,776820000.0,-5976000.0,-150209000.0,0.0509,25831000.0,704577000.0,,-490348000.0,0.0,-552702000.0,186324000.0,0.0,2017,QRVO,,-1105000.0,,,,
7,0.0,,-37650000.0,-34850000.0,1000000000.0,-1248134000.0,-282984000.0,300127000.0,49482000.0,-28845000.0,-84116000.0,139516000.0,0.0,426062000.0,-1248134000.0,-81683000.0,36682000.0,125935000.0,123504000.0,687927000.0,-12572000.0,-1248134000.0,0.0525,3401000.0,674951000.0,,-278714000.0,0.0,-315624000.0,49482000.0,0.0,2016,QRVO,,-294000.0,,,,
8,224324000.0,,-4295000.0,-20593000.0,-87503000.0,-4802000.0,-112898000.0,171898000.0,-126549000.0,196303000.0,10423000.0,64941000.0,0.0,299814000.0,-4802000.0,-58232000.0,-30369000.0,127916000.0,-49435000.0,305624000.0,8145000.0,-4802000.0,-0.0755,-33991000.0,216988000.0,,-63942000.0,0.0,-169862000.0,-126549000.0,0.0,2015,QRVO,,-868000.0,,,,
9,0.0,,-6171000.0,-8945000.0,0.0,4700000.0,-4245000.0,101662000.0,8548000.0,12642000.0,35266000.0,29901000.0,0.0,171898000.0,4700000.0,-3313000.0,6160000.0,70236000.0,35924000.0,130849000.0,0.0,4700000.0,-0.058,-38568000.0,85596000.0,,-57033000.0,0.0,-64254000.0,8548000.0,-1327000.0,2014,QRVO,,665000.0,,,,
0,0.0,,-2358000000.0,-22000000.0,-1817000000.0,1289000000.0,-1817000000.0,10270000000.0,17000000.0,-1028000000.0,-135000000.0,654000000.0,0.0,9357000000.0,22000000.0,-655000000.0,3540000000.0,-913000000.0,770000000.0,-852000000.0,-20000000.0,22000000.0,-1.2518,-62000000.0,61000000.0,17000000.0,-60000000.0,-1837000000.0,-57000000.0,0.0,,2022,HOOD,,-1000000.0,,,1267000000.0,
1,-125000000.0,,1663000000.0,-422000000.0,3552000000.0,2073000000.0,5203000000.0,6190000000.0,-27000000.0,-3687000000.0,135000000.0,1572000000.0,0.0,10270000000.0,2073000000.0,-918000000.0,-3428000000.0,4080000000.0,3694000000.0,-885000000.0,-3000000.0,2073000000.0,-0.949,134090000.0,26000000.0,-27000000.0,-238000000.0,712000000.0,-83000000.0,-27203000.0,,2021,HOOD,,-68000.0,,,0.0,
2,0.0,,1289000000.0,-22000000.0,1247090000.0,1276000000.0,1276000000.0,3070000000.0,17000000.0,7000000.0,-135000000.0,24000000.0,0.0,6190000000.0,1276000000.0,1774000000.0,-2979000000.0,3120000000.0,85000000.0,1876000000.0,-20000000.0,9000000.0,-0.324,67117000.0,10000000.0,17000000.0,-32000000.0,3599000000.0,-32000000.0,0.0,,2020,HOOD,,-1000000.0,,,1267000000.0,
3,0.0,,665892000.0,0.0,674029000.0,375350000.0,375350000.0,1446266000.0,141000.0,-106569000.0,0.0,26667000.0,0.0,3069568000.0,375350000.0,1323265000.0,-159339000.0,1623302000.0,37945000.0,1260085000.0,141000.0,2617000.0,-0.324,13895000.0,5444000.0,0.0,-12312000.0,816712000.0,-12453000.0,141000.0,,2019,HOOD,,179000.0,,,372733000.0,
0,5909000.0,,52786000.0,-10214000.0,-148996000.0,46501000.0,-112709000.0,405862000.0,9710000.0,-254560000.0,,311745000.0,0.0,515771000.0,46501000.0,64465000.0,-25885000.0,109909000.0,343474000.0,272403000.0,-10214000.0,46501000.0,-0.0269,47164000.0,119024000.0,,-49785000.0,-9600000.0,-65404000.0,9710000.0,,2023,NTNX,,,,,0.0,
1,0.0,,20736000.0,-33099000.0,127478000.0,9256000.0,103635000.0,288873000.0,-5131000.0,-798946000.0,,343246000.0,0.0,405862000.0,9256000.0,66056000.0,60998000.0,116989000.0,672248000.0,67543000.0,6781000.0,9256000.0,0.0059,-14217000.0,128185000.0,,-54189000.0,-1461000.0,-49058000.0,-5131000.0,,2022,NTNX,,,,,0.0,
2,0.0,,-34684000.0,715543000.0,723158000.0,-59313000.0,663845000.0,321991000.0,-538506000.0,-1035589000.0,,358545000.0,0.0,288873000.0,-59313000.0,91106000.0,64483000.0,-33118000.0,686441000.0,-99810000.0,0.0,-59313000.0,-0.0153,67069000.0,158232000.0,,-597153000.0,-5762000.0,-58647000.0,-538506000.0,,2021,NTNX,,,,,0.0,
3,0.0,,192289000.0,386637000.0,0.0,57797000.0,57797000.0,399520000.0,114047100.0,-872883000.0,,351998000.0,0.0,321991000.0,57797000.0,202214000.0,4334000.0,-77529000.0,385698000.0,-159885000.0,0.0,57797000.0,-0.0446,22165000.0,125086000.0,,24559000.0,-16574000.0,-89488000.0,114047100.0,,2020,NTNX,,,,,0.0,
4,-19017000.0,,227147000.0,-1040000.0,-1066000.0,69210000.0,67104000.0,307098000.0,120619000.0,-621179000.0,,306729000.0,0.0,399520000.0,69210000.0,253311000.0,15704000.0,92422000.0,303111000.0,42168000.0,-2031000.0,69210000.0,-0.1095,-3048000.0,106925000.0,,-16850000.0,13508000.0,-118452000.0,120619000.0,,2019,NTNX,,,,,0.0,
5,-22227000.0,,183801000.0,-85000.0,418716000.0,159985000.0,578616000.0,139497000.0,-418956000.0,-297161000.0,,177868000.0,0.0,307098000.0,159985000.0,150231000.0,-79273000.0,167601000.0,174483000.0,92540000.0,-1696000.0,159985000.0,-0.0629,62172000.0,64987000.0,,-503555000.0,-16469000.0,-62372000.0,-418956000.0,,2018,NTNX,,,,,0.0,
6,-184000.0,,105685000.0,-3163000.0,-82124000.0,286709000.0,201422000.0,99390000.0,-125729000.0,-379638000.0,,231491000.0,0.0,139497000.0,286709000.0,97386000.0,-67382000.0,40107000.0,258632000.0,14779000.0,-6990000.0,286709000.0,-0.1012,37803000.0,38399000.0,,-176094000.0,21280000.0,-50181000.0,-125729000.0,,2017,NTNX,,,,,0.0,
7,0.0,,109201000.0,-2206000.0,73255000.0,3149000.0,74198000.0,67879000.0,-4210000.0,-108233000.0,,20056000.0,0.0,99209000.0,3149000.0,67280000.0,-71406000.0,31330000.0,18181000.0,3636000.0,980000.0,3149000.0,-0.0688,9500000.0,26408000.0,,-46504000.0,19985000.0,-42294000.0,-4210000.0,,2016,NTNX,,,,,0.0,
8,0.0,,51140000.0,-299000.0,0.0,143054000.0,142755000.0,57485000.0,-83359000.0,-126127000.0,,17140000.0,0.0,67879000.0,143054000.0,60067000.0,-9018000.0,10394000.0,23799000.0,-25694000.0,0.0,4750000.0,-0.0688,6627000.0,16567000.0,,-106667000.0,11318000.0,-23308000.0,-83359000.0,,2015,NTNX,,,,,138304000.0,
9,0.0,,17583000.0,0.0,-60000.0,104237000.0,104177000.0,18047000.0,0.0,-84003000.0,,5860000.0,0.0,57485000.0,104237000.0,16150000.0,-21177000.0,39438000.0,10564000.0,-45707000.0,0.0,3530000.0,-0.0688,7192000.0,11582000.0,,-19032000.0,12552000.0,-19032000.0,0.0,,2014,NTNX,,,,,100707000.0,
0,0.0,-114946000.0,310655000.0,-665000.0,-32136000.0,-127844000.0,-275591000.0,994913000.0,0.0,651307000.0,-2636759000.0,91167000.0,-114946000.0,522856000.0,-127844000.0,-1206905000.0,-1256753000.0,-472057000.0,42629000.0,-49604000.0,1541000.0,-127844000.0,0.3676,2376000000.0,463365000.0,0.0,-115508000.0,2375952000.0,-117049000.0,0.0,,2022,SNX,,-31354000.0,,,,
1,-907093000.0,-50272000.0,-7498000.0,-195764000.0,-149450200.0,2866000.0,-392620000.0,1568870000.0,0.0,395069000.0,-1030110000.0,53192000.0,-50272000.0,994913000.0,2866000.0,186452900.0,-630826000.0,-573957000.0,76601000.0,809787000.0,9637000.0,2866000.0,0.488,1855000000.0,151664000.0,0.0,-952348000.0,1854887000.0,-54892000.0,0.0,,2021,SNX,,-38776000.0,,,,
2,-5560000.0,-20782000.0,262753000.0,-11148000.0,-254090000.0,-5676000.0,-291696000.0,231149000.0,0.0,529160000.0,-128786000.0,33202000.0,-20782000.0,1568870000.0,-5676000.0,911514000.0,92533000.0,1337721000.0,52055000.0,1834366000.0,-5970000.0,-5676000.0,0.0514,685000000.0,341637000.0,0.0,-209495000.0,685014000.0,-197965000.0,0.0,,2020,SNX,,4545000.0,,,,
3,-9427000.0,-76607000.0,46465000.0,-14095000.0,-523270800.0,-17728000.0,-631701000.0,462033000.0,0.0,500712000.0,-153134000.0,27959000.0,-76607000.0,231149000.0,-17728000.0,-361347000.0,-353070000.0,-230884000.0,38446000.0,549919000.0,13000.0,-17728000.0,0.8941,98000000.0,372108000.0,0.0,-146837000.0,98392000.0,-137423000.0,0.0,,2019,SNX,,-2265000.0,,,,
4,-1069946000.0,-59720000.0,95466000.0,-914000.0,1129256000.0,-67476000.0,1001146000.0,556742000.0,18573000.0,299981000.0,-366392000.0,22678000.0,-59720000.0,462033000.0,-67476000.0,-403975000.0,-515019000.0,-94709000.0,-20587000.0,100706000.0,-2914000.0,-67476000.0,1.8038,382000000.0,225287000.0,5680000.0,-1179592000.0,381970000.0,-125305000.0,12893000.0,,2018,SNX,,-16969000.0,,,,
